111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.5,75,21.5,54.2,31,87.5,37,87.5,49.5,79.2,51.9,120.8
18.502,58.3,21.502,45.8,31.002,162.5,37.002,100,49.502,58.3,51.902,175
18.504,87.5,21.504,79.2,31.004,79.2,37.004,83.3,49.504,108.3,51.904,145.8
18.506,83.3,21.506,62.5,31.006,91.7,37.006,116.7,49.506,50,51.906,129.2
18.508,37.5,21.508,83.3,31.008,70.8,37.008,112.5,49.508,79.2,51.908,100
18.51,50,21.51,87.5,31.01,120.8,37.01,95.8,49.51,58.3,51.91,112.5
18.512,70.8,21.512,62.5,31.012,133.3,37.012,150,49.512,75,51.912,141.7
18.514,41.7,21.514,62.5,31.014,112.5,37.014,70.8,49.514,70.8,51.914,137.5
18.516,45.8,21.516,79.2,31.016,133.3,37.016,75,49.516,87.5,51.916,112.5
18.518,37.5,21.518,87.5,31.018,100,37.018,79.2,49.518,70.8,51.918,108.3
18.52,50,21.52,87.5,31.02,91.7,37.02,100,49.52,104.2,51.92,100
18.522,100,21.522,62.5,31.022,87.5,37.022,112.5,49.522,91.7,51.922,162.5
18.524,58.3,21.524,75,31.024,120.8,37.024,112.5,49.524,87.5,51.924,145.8
18.526,79.2,21.526,112.5,31.026,87.5,37.026,141.7,49.526,83.3,51.926,129.2
18.528,29.2,21.528,79.2,31.028,66.7,37.028,58.3,49.528,108.3,51.928,129.2
18.53,29.2,21.53,45.8,31.03,79.2,37.03,95.8,49.53,79.2,51.93,95.8
18.532,45.8,21.532,58.3,31.032,100,37.032,116.7,49.532,104.2,51.932,79.2
18.534,50,21.534,87.5,31.034,91.7,37.034,108.3,49.534,112.5,51.934,100
18.536,62.5,21.536,79.2,31.036,87.5,37.036,87.5,49.536,100,51.936,120.8
18.538,50,21.538,100,31.038,83.3,37.038,133.3,49.538,62.5,51.938,150
18.54,79.2,21.54,95.8,31.04,83.3,37.04,120.8,49.54,83.3,51.94,95.8
18.542,62.5,21.542,100,31.042,70.8,37.042,91.7,49.542,100,51.942,137.5
18.544,33.3,21.544,62.5,31.044,62.5,37.044,120.8,49.544,137.5,51.944,120.8
18.546,54.2,21.546,100,31.046,129.2,37.046,104.2,49.546,70.8,51.946,158.3
18.548,41.7,21.548,70.8,31.048,79.2,37.048,95.8,49.548,58.3,51.948,162.5
18.55,87.5,21.55,58.3,31.05,112.5,37.05,104.2,49.55,66.7,51.95,120.8
18.552,54.2,21.552,58.3,31.052,91.7,37.052,91.7,49.552,87.5,51.952,158.3
18.554,66.7,21.554,91.7,31.054,66.7,37.054,129.2,49.554,70.8,51.954,150
18.556,45.8,21.556,79.2,31.056,116.7,37.056,95.8,49.556,95.8,51.956,116.7
18.558,54.2,21.558,66.7,31.058,129.2,37.058,129.2,49.558,58.3,51.958,158.3
18.56,50,21.56,83.3,31.06,62.5,37.06,150,49.56,79.2,51.96,129.2
18.562,62.5,21.562,83.3,31.062,83.3,37.062,125,49.562,104.2,51.962,137.5
18.564,66.7,21.564,79.2,31.064,95.8,37.064,116.7,49.564,70.8,51.964,120.8
18.566,66.7,21.566,95.8,31.066,91.7,37.066,100,49.566,83.3,51.966,129.2
18.568,37.5,21.568,83.3,31.068,95.8,37.068,137.5,49.568,108.3,51.968,120.8
18.57,62.5,21.57,50,31.07,100,37.07,125,49.57,129.2,51.97,133.3
18.572,29.2,21.572,87.5,31.072,83.3,37.072,133.3,49.572,58.3,51.972,120.8
