111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.5,72,21.47,85,31.06,114,37,107,50,110,51.76,123
18.51,81,21.48,79,31.07,102,37.01,102,50.01,103,51.77,111
18.52,85,21.49,73,31.08,111,37.02,97,50.02,99,51.78,103
18.53,83,21.5,82,31.09,139,37.03,91,50.03,94,51.79,110
18.54,81,21.51,78,31.1,123,37.04,89,50.04,101,51.8,110
18.55,72,21.52,71,31.11,100,37.05,104,50.05,106,51.81,105
18.56,70,21.53,91,31.12,99,37.06,94,50.06,97,51.82,117
18.57,88,21.54,88,31.13,111,37.07,101,50.07,98,51.83,101
18.58,86,21.55,87,31.14,97,37.08,90,50.08,105,51.84,128
18.59,80,21.56,96,31.15,96,37.09,97,50.09,108,51.85,112
18.6,69,21.57,84,31.16,103,37.1,108,50.1,95,51.86,96
18.61,80,21.58,86,31.17,107,37.11,94,50.11,108,51.87,94
18.62,84,21.59,85,31.18,87,37.12,100,50.12,97,51.88,98
18.63,74,21.6,83,31.19,101,37.13,103,50.13,101,51.89,98
18.64,84,21.61,73,31.2,99,37.14,106,50.14,110,51.9,100
18.65,71,21.62,90,31.21,101,37.15,102,50.15,113,51.91,93
18.66,79,21.63,93,31.22,105,37.16,90,50.16,101,51.92,111
18.67,85,21.64,87,31.23,115,37.17,99,50.17,91,51.93,107
18.68,79,21.65,75,31.24,111,37.18,96,50.18,100,51.94,105
18.69,90,21.66,81,31.25,103,37.19,96,50.19,101,51.95,111
18.7,85,21.67,85,31.26,99,37.2,85,50.2,105,51.96,105
18.71,92,21.68,94,31.27,105,37.21,104,50.21,103,51.97,116
18.72,83,21.69,91,31.28,104,37.22,109,50.22,101,51.98,114
18.73,79,21.7,94,31.29,112,37.23,102,50.23,103,51.99,122
18.74,81,21.71,91,31.3,111,37.24,96,50.24,90,52,100
18.75,79,21.72,83,31.31,105,37.25,86,50.25,93,52.01,102
18.76,84,21.73,102,31.32,104,37.26,92,50.26,116,52.02,121
18.77,85,21.74,80,31.33,110,37.27,83,50.27,103,52.03,108
18.78,72,21.75,76,31.34,105,37.28,96,50.28,103,52.04,105
18.79,71,21.76,85,31.35,104,37.29,95,50.29,98,52.05,89
18.8,70,21.77,85,31.36,99,37.3,110,50.3,101,52.06,115
18.81,91,21.78,86,31.37,103,37.31,105,50.31,102,52.07,106
18.82,80,21.79,82,31.38,124,37.32,109,50.32,94,52.08,115
18.83,94,21.8,89,31.39,111,37.33,107,50.33,107,52.09,113
18.84,80,21.81,89,31.4,109,37.34,106,50.34,107,52.1,109
18.85,74,21.82,98,31.41,110,37.35,91,50.35,105,52.11,115
18.86,86,21.83,94,31.42,115,37.36,80,50.36,89,52.12,113
18.87,96,21.84,77,31.43,111,37.37,86,50.37,126,52.13,124
18.88,82,21.85,86,31.44,134,37.38,100,50.38,96,52.14,115
18.89,72,21.86,97,31.45,138,37.39,109,50.39,99,52.15,128
18.9,73,21.87,83,31.46,117,37.4,112,50.4,103,52.16,118
18.91,69,21.88,90,31.47,133,37.41,94,50.41,108,52.17,123
18.92,77,21.89,95,31.48,123,37.42,102,50.42,112,52.18,134
18.93,71,21.9,96,31.49,126,37.43,94,50.43,106,52.19,141
18.94,79,21.91,82,31.5,138,37.44,106,50.44,109,52.2,150
18.95,83,21.92,84,31.51,126,37.45,96,50.45,102,52.21,167
18.96,67,21.93,97,31.52,134,37.46,90,50.46,106,52.22,166
18.97,77,21.94,90,31.53,129,37.47,82,50.47,94,52.23,183
18.98,80,21.95,83,31.54,140,37.48,98,50.48,93,52.24,193
18.99,78,21.96,92,31.55,142,37.49,106,50.49,105,52.25,240
19,79,21.97,107,31.56,122,37.5,95,50.5,96,52.26,274
19.01,79,21.98,94,31.57,125,37.51,105,50.51,106,52.27,349
19.02,89,21.99,87,31.58,123,37.52,93,50.52,117,52.28,408
19.03,87,22,74,31.59,135,37.53,93,50.53,99,52.29,486
19.04,76,22.01,89,31.6,114,37.54,86,50.54,121,52.3,579
19.05,70,22.02,93,31.61,120,37.55,106,50.55,113,52.31,670
19.06,73,22.03,86,31.62,145,37.56,89,50.56,106,52.32,712
19.07,78,22.04,96,31.63,117,37.57,87,50.57,123,52.33,778
19.08,75,22.05,95,31.64,128,37.58,88,50.58,108,52.34,697
19.09,90,22.06,88,31.65,136,37.59,97,50.59,98,52.35,558
19.1,83,22.07,113,31.66,129,37.6,106,50.6,91,52.36,470
19.11,73,22.08,87,31.67,135,37.61,131,50.61,106,52.37,284
19.12,89,22.09,98,31.68,130,37.62,107,50.62,121,52.38,267
19.13,93,22.1,84,31.69,135,37.63,106,50.63,96,52.39,209
19.14,97,22.11,91,31.7,134,37.64,104,50.64,95,52.4,168
19.15,76,22.12,102,31.71,130,37.65,98,50.65,104,52.41,161
19.16,83,22.13,108,31.72,130,37.66,89,50.66,98,52.42,148
