111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
20.838,33.3,23.838,37.5,33.338,137.5,39.338,125,51.838,83.3,,
20.84,29.2,23.84,83.3,33.34,183.3,39.34,87.5,51.84,108.3,,
20.842,58.3,23.842,66.7,33.342,179.2,39.342,145.8,51.842,145.8,,
20.844,37.5,23.844,58.3,33.344,162.5,39.344,91.7,51.844,116.7,,
20.846,41.7,23.846,62.5,33.346,200,39.346,108.3,51.846,95.8,,
20.848,50,23.848,58.3,33.348,170.8,39.348,104.2,51.848,133.3,,
20.85,41.7,23.85,37.5,33.35,233.3,39.35,87.5,51.85,133.3,,
20.852,54.2,23.852,41.7,33.352,200,39.352,91.7,51.852,104.2,,
20.854,54.2,23.854,37.5,33.354,183.3,39.354,112.5,51.854,116.7,,
20.856,50,23.856,70.8,33.356,166.7,39.356,95.8,51.856,137.5,,
20.858,33.3,23.858,70.8,33.358,150,39.358,83.3,51.858,91.7,,
20.86,70.8,23.86,66.7,33.36,129.2,39.36,150,51.86,104.2,,
20.862,41.7,23.862,54.2,33.362,162.5,39.362,125,51.862,95.8,,
20.864,20.8,23.864,66.7,33.364,158.3,39.364,112.5,51.864,95.8,,
20.866,50,23.866,54.2,33.366,145.8,39.366,87.5,51.866,95.8,,
20.868,58.3,23.868,66.7,33.368,145.8,39.368,91.7,51.868,133.3,,
20.87,50,23.87,62.5,33.37,170.8,39.37,116.7,51.87,116.7,,
20.872,58.3,23.872,50,33.372,120.8,39.372,87.5,51.872,100,,
20.874,66.7,23.874,50,33.374,141.7,39.374,62.5,51.874,129.2,,
20.876,62.5,23.876,29.2,33.376,179.2,39.376,95.8,51.876,133.3,,
20.878,50,23.878,50,33.378,170.8,39.378,91.7,51.878,116.7,,
20.88,54.2,23.88,50,33.38,183.3,39.38,133.3,51.88,100,,
20.882,41.7,23.882,41.7,33.382,212.5,39.382,108.3,51.882,129.2,,
20.884,37.5,23.884,50,33.384,162.5,39.384,125,51.884,100,,
20.886,50,23.886,37.5,33.386,137.5,39.386,100,51.886,120.8,,
20.888,41.7,23.888,66.7,33.388,187.5,39.388,91.7,51.888,75,,
20.89,66.7,23.89,50,33.39,183.3,39.39,91.7,,,,
20.892,62.5,23.892,50,33.392,170.8,39.392,116.7,,,,
20.894,25,23.894,62.5,33.394,150,39.394,112.5,,,,
20.896,41.7,23.896,50,33.396,166.7,39.396,87.5,,,,
20.898,41.7,23.898,70.8,33.398,100,39.398,120.8,,,,
20.9,70.8,23.9,104.2,33.4,158.3,39.4,100,,,,
20.902,70.8,23.902,50,33.402,158.3,39.402,116.7,,,,
20.904,41.7,23.904,58.3,33.404,225,39.404,100,,,,
20.906,50,23.906,66.7,33.406,150,39.406,104.2,,,,
20.908,75,23.908,33.3,33.408,187.5,39.408,112.5,,,,
20.91,33.3,23.91,62.5,33.41,187.5,39.41,125,,,,
20.912,41.7,23.912,41.7,33.412,175,39.412,75,,,,
20.914,50,23.914,50,33.414,166.7,39.414,112.5,,,,
20.916,54.2,23.916,58.3,33.416,183.3,39.416,66.7,,,,
20.918,54.2,23.918,54.2,33.418,200,39.418,108.3,,,,
20.92,37.5,23.92,41.7,33.42,133.3,39.42,95.8,,,,
20.922,16.7,23.922,83.3,33.422,200,39.422,83.3,,,,
20.924,58.3,23.924,62.5,33.424,162.5,39.424,104.2,,,,
20.926,54.2,23.926,50,33.426,179.2,39.426,125,,,,
20.928,29.2,23.928,79.2,33.428,183.3,39.428,91.7,,,,
20.93,25,23.93,70.8,33.43,187.5,39.43,83.3,,,,
20.932,58.3,23.932,58.3,33.432,200,39.432,95.8,,,,
20.934,45.8,23.934,70.8,33.434,145.8,39.434,83.3,,,,
20.936,58.3,23.936,79.2,33.436,187.5,39.436,87.5,,,,
20.938,33.3,23.938,62.5,33.438,179.2,39.438,66.7,,,,
20.94,54.2,23.94,58.3,33.44,191.7,39.44,100,,,,
20.942,54.2,23.942,66.7,33.442,150,39.442,104.2,,,,
20.944,33.3,23.944,41.7,33.444,170.8,39.444,100,,,,
20.946,45.8,23.946,62.5,33.446,183.3,39.446,116.7,,,,
20.948,50,23.948,41.7,33.448,183.3,39.448,100,,,,
20.95,41.7,23.95,83.3,33.45,166.7,39.45,108.3,,,,
20.952,37.5,23.952,45.8,33.452,175,39.452,100,,,,
20.954,54.2,23.954,54.2,33.454,162.5,39.454,104.2,,,,
20.956,50,23.956,41.7,33.456,150,39.456,91.7,,,,
20.958,41.7,23.958,83.3,33.458,216.7,39.458,104.2,,,,
20.96,45.8,23.96,83.3,33.46,175,39.46,75,,,,
20.962,54.2,23.962,29.2,33.462,241.7,39.462,104.2,,,,
20.964,41.7,23.964,62.5,33.464,208.3,39.464,83.3,,,,
20.966,37.5,23.966,50,33.466,137.5,39.466,87.5,,,,
20.968,62.5,23.968,108.3,33.468,200,39.468,70.8,,,,
20.97,50,23.97,75,33.47,154.2,39.47,104.2,,,,
20.972,62.5,23.972,54.2,33.472,175,39.472,70.8,,,,
20.974,37.5,23.974,70.8,33.474,158.3,39.474,120.8,,,,
20.976,41.7,23.976,66.7,33.476,191.7,39.476,108.3,,,,
20.978,79.2,23.978,33.3,33.478,187.5,39.478,70.8,,,,
20.98,54.2,23.98,83.3,33.48,141.7,39.48,137.5,,,,
20.982,45.8,23.982,70.8,33.482,158.3,39.482,100,,,,
20.984,45.8,23.984,41.7,33.484,183.3,39.484,108.3,,,,
20.986,50,23.986,70.8,33.486,162.5,39.486,104.2,,,,
20.988,66.7,23.988,75,33.488,208.3,39.488,95.8,,,,
20.99,50,23.99,62.5,33.49,137.5,39.49,87.5,,,,
20.992,70.8,23.992,62.5,33.492,170.8,39.492,66.7,,,,
20.994,54.2,23.994,75,33.494,170.8,39.494,66.7,,,,
20.996,41.7,23.996,33.3,33.496,187.5,39.496,108.3,,,,
20.998,54.2,23.998,62.5,33.498,116.7,39.498,66.7,,,,
21,41.7,24,58.3,33.5,141.7,39.5,83.3,,,,
,,,,33.502,195.8,,,,,,
,,,,33.504,158.3,,,,,,
,,,,33.506,183.3,,,,,,
,,,,33.508,175,,,,,,
,,,,33.51,191.7,,,,,,
,,,,33.512,175,,,,,,
,,,,33.514,170.8,,,,,,
,,,,33.516,145.8,,,,,,
,,,,33.518,229.2,,,,,,
,,,,33.52,187.5,,,,,,
,,,,33.522,141.7,,,,,,
,,,,33.524,108.3,,,,,,
,,,,33.526,208.3,,,,,,
,,,,33.528,116.7,,,,,,
,,,,33.53,179.2,,,,,,
,,,,33.532,175,,,,,,
,,,,33.534,145.8,,,,,,
,,,,33.536,187.5,,,,,,
,,,,33.538,183.3,,,,,,
,,,,33.54,166.7,,,,,,
,,,,33.542,208.3,,,,,,
,,,,33.544,145.8,,,,,,
,,,,33.546,166.7,,,,,,
,,,,33.548,162.5,,,,,,
,,,,33.55,129.2,,,,,,
,,,,33.552,162.5,,,,,,
,,,,33.554,170.8,,,,,,
,,,,33.556,145.8,,,,,,
,,,,33.558,133.3,,,,,,
,,,,33.56,120.8,,,,,,
,,,,33.562,145.8,,,,,,
,,,,33.564,133.3,,,,,,
,,,,33.566,175,,,,,,
,,,,33.568,150,,,,,,
,,,,33.57,179.2,,,,,,
,,,,33.572,220.8,,,,,,
,,,,33.574,179.2,,,,,,
,,,,33.576,145.8,,,,,,
,,,,33.578,129.2,,,,,,
,,,,33.58,137.5,,,,,,
,,,,33.582,150,,,,,,
,,,,33.584,183.3,,,,,,
,,,,33.586,154.2,,,,,,
,,,,33.588,170.8,,,,,,
,,,,33.59,175,,,,,,
,,,,33.592,141.7,,,,,,
,,,,33.594,154.2,,,,,,
,,,,33.596,170.8,,,,,,
,,,,33.598,191.7,,,,,,
,,,,33.6,191.7,,,,,,
,,,,33.602,141.7,,,,,,
,,,,33.604,158.3,,,,,,
,,,,33.606,137.5,,,,,,
,,,,33.608,91.7,,,,,,
,,,,33.61,145.8,,,,,,
,,,,33.612,183.3,,,,,,
,,,,33.614,166.7,,,,,,
,,,,33.616,154.2,,,,,,
,,,,33.618,158.3,,,,,,
,,,,33.62,179.2,,,,,,
,,,,33.622,158.3,,,,,,
,,,,33.624,175,,,,,,
,,,,33.626,141.7,,,,,,
,,,,33.628,158.3,,,,,,
,,,,33.63,179.2,,,,,,
,,,,33.632,162.5,,,,,,
