200thetas,200intensity,211thetas,211intensity,220thetas,220intensity,310thetas,310intensity,222thetas,222intensity
27.5,0.0016800011889901189,34.0,0.0012004482604041607,40.0,0.0022165115906225873,45.0,0.0029793451290551906,49.5,0.0015861807392640195
27.502,0.0016858572726305813,34.001999999999995,0.0012041949493781445,40.002,0.0022257413399341874,45.002,0.0029907055860042397,49.502,0.0015912276081189855
27.504,0.0016917440117361331,34.004,0.0012079591992193571,40.004,0.0022350288165192025,45.004,0.003002131078957561,49.504,0.0015962985894669714
27.506,0.0016976616205260555,34.006,0.0012117411197994994,40.006,0.0022443745024253088,45.006,0.0030136221047821696,49.506,0.001601393837073869
27.508000000000006,0.0017036103150930679,34.008,0.0012155408218505626,40.008,0.0022537788847385503,45.008,0.003025179165094345,49.508,0.001606513505932589
27.51,0.0017095903134229302,34.01,0.0012193584169728955,40.01,0.002263242455646545,45.01,0.003036802766314085,49.51,0.0016116577522747946
27.512,0.0017156018354144251,34.012,0.001223194017643438,40.012,0.00227276571250283,45.012,0.0030484934197205172,49.512,0.001616826733582863
27.514,0.0017216451028995484,34.014,0.001227047737223912,40.014,0.002282349157891801,45.014,0.003060251641507596,49.514,0.0016220206086017875
27.516,0.0017277203396638206,34.016,0.0012309196899692252,40.016,0.002291993299694928,45.01600000000001,0.003072077952841244,49.51600000000001,0.001627239537351501
27.518,0.0017338277714670804,34.018,0.0012348099910359652,40.018,0.002301698651157937,45.018,0.0030839728799163467,49.518,0.0016324836811389561
27.52,0.0017399676260643124,34.02,0.001238718756490867,40.02,0.002311465730958689,45.02,0.003095936954015639,49.52,0.0016377532025708215
27.522,0.0017461401332269034,34.022,0.001242646103319498,40.022,0.002321295063276361,45.022,0.003107970711568277,49.522,0.0016430482655658348
27.524,0.001752345524764064,34.024,0.001246592149435035,40.024,0.0023311871778616666,45.024,0.0031200746942100514,49.524,0.001648369035367673
27.526,0.0017585840345445028,34.026,0.001250557013687006,40.026,0.00234114261010777,45.026,0.003132249448844011,49.526,0.0016537156785577775
27.528,0.0017648558985184895,34.028,0.001254540815870334,40.028,0.002351161901122784,45.028,0.003144495527701666,49.528,0.001659088363068235
27.53,0.0017711613547400254,34.03,0.0012585436767342752,40.03,0.0023612455978028195,45.03,0.003156813488405916,49.53,0.0016644872581951756
27.532,0.0017775006433894442,34.032,0.0012625657179915922,40.032,0.0023713942529064893,45.032,0.00316920389403374,49.532,0.001669912534611857
27.534,0.0017838740067962523,34.034,0.0012666070623278355,40.034,0.0023816084251305305,45.034,0.0031816673131806637,49.534,0.0016753643643822914
27.536,0.0017902816894620774,34.036,0.0012706678334105993,40.036,0.002391888679186234,45.036,0.0031942043200254115,49.536,0.0016808429209747265
27.538,0.001796723938084298,34.038000000000004,0.0012747481558990205,40.038,0.0024022355858774017,45.038,0.003206815494395926,49.538,0.0016863483792754887
27.54,0.0018032010015795149,34.04,0.0012788481554533019,40.04,0.0024126497221792467,45.04,0.0032195014218360397,49.54,0.0016918809156028685
27.542,0.0018097131311076765,34.042,0.0012829679587444307,40.042,0.0024231316713187274,45.042,0.0032322626936733237,49.542,0.0016974407077212867
27.544,0.001816260580096323,34.044000000000004,0.0012871076934638562,40.044,0.0024336820228557103,45.044,0.0032450999070873943,49.544,0.0017030279348554042
27.546,0.0018228436042651477,34.046,0.0012912674883334115,40.046,0.002444301372765721,45.04600000000001,0.003258013665179873,49.54600000000001,0.001708642777704707
27.548,0.0018294624616509848,34.048,0.0012954474731153474,40.048,0.0024549903235239466,45.048,0.0032710045770443725,49.548,0.0017142854184578507
27.55,0.001836117412632945,34.05,0.0012996477786223306,40.05,0.0024657494841901447,45.05,0.0032840732578386005,49.55,0.0017199560408076582
27.552,0.0018428087199580387,34.052,0.001303868536727781,40.052,0.002476579470495427,45.052,0.0032972203288565423,49.552,0.0017256548299659034
27.554,0.001849536648767013,34.054,0.0013081098803760976,40.054,0.002487480904929791,45.054,0.0033104464176018835,49.554,0.0017313819726783516
27.556,0.0018563014666205058,34.056,0.0013123719435931555,40.056,0.002498454416831395,45.056,0.003323752157862934,49.556,0.0017371376572401925
27.558000000000003,0.0018631034435257262,34.058,0.0013166548614969213,40.058,0.0025095006424772012,45.058,0.003337138189787647,49.558,0.0017429220735112314
27.56,0.0018699428519630965,34.06,0.0013209587703080508,40.06,0.002520620225174665,45.06,0.003350605159960943,49.56,0.0017487354129317998
27.562,0.001876819966913732,34.062,0.0013252838073607495,40.062,0.002531813815355206,45.062,0.003364153721481861,49.562,0.00175457786853831
27.564,0.0018837350658868406,34.064,0.0013296301111137526,40.064,0.002543082070669122,45.06399999999999,0.0033777845340427753,49.56399999999999,0.0017604496349794075
27.566,0.0018906884289476727,34.066,0.0013339978211612956,40.066,0.002554425656081619,45.066,0.003391498264009237,49.566,0.0017663509085321066
27.568,0.001897680338745877,34.068000000000005,0.0013383870782443653,40.06800000000001,0.0025658452439707466,45.06800000000001,0.0034052955845007586,49.56800000000001,0.001772281887118028
27.57,0.0019047110805440585,34.07,0.001342798024261986,40.07,0.0025773415142266087,45.07,0.0034191771754734225,49.57,0.0017782427703201195
27.572,0.0019117809422468871,34.072,0.0013472308022827136,40.072,0.0025889151543523376,45.072,0.003433143723803177,49.572,0.0017842337593993699
27.574,0.0019188902144304555,34.074,0.0013516855565561881,40.074,0.002600566859566453,45.074,0.00344719592337037,49.574,0.0017902550573117321
27.576,0.0019260391903720274,34.076,0.0013561624325248102,40.076,0.0026122973329068136,45.076,0.003461334475145432,49.576,0.0017963068687252312
