,2theta,FWHM
111,19.657305011595994,0.07052392436277895
200,22.73183719853476,0.09035612040956023
220,32.376498835763805,0.09756439446590903
311,38.16575233495117,0.10811533718799964
222,50.908152027487176,0.11945124147013192
