111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity
18.48,0.2980938372649998,21.5,0.4023846937926756,31.5,6.757242544706412,37.0,2.022960517408502,50.0,1.4120845648417801
18.49,0.3032184707530633,21.51,0.4089892252459938,31.51,6.9136161078676395,37.01,2.058042364518981,50.01,1.44356512196589
18.5,0.3084763569852985,21.52,0.4157576301381832,31.52,7.0754752842896,37.02,2.094044077280552,50.02,1.476108644122604
18.51,0.3138721547122409,21.53,0.4226953724974848,31.53,7.243079398456267,37.03,2.1309980735713303,50.03,1.509763455804735
18.52,0.3194107280101186,21.54,0.4298081458882001,31.54,7.416703264105183,37.04,2.168938210923389,50.04,1.5445806547415537
18.53,0.32509715723298943,21.55,0.4371018850739345,31.55,7.596638306499638,37.05,2.2078998638690317,50.05,1.5806143047736338
18.54,0.3309367506522925,21.56,0.444582778377757,31.56,7.7831937806074,37.06,2.2479200061750784,50.06,1.6179216445339333
18.55,0.3369350568336053,21.57,0.4522572807873423,31.57,7.9766980946582855,37.07,2.2890372983207703,50.07,1.6565633134300284
18.56,0.34309787780437034,21.58,0.4601321278567398,31.58,8.177500249613264,37.08,2.331292180605101,50.08,1.6966035965838573
18.57,0.3494312830709419,21.59,0.4682143504606587,31.59,8.385971406279548,37.09,2.3747269723004654,50.09,1.7381106905645307
18.58,0.3559416245480481,21.6,0.4765112904614234,31.6,8.60250659315342,37.1,2.419385977305447,50.1,1.7811569919525931
18.59,0.3626355524692299,21.61,0.4850306173537321,31.61,8.827526569602522,37.11,2.4653155967880576,50.11,1.8258194110012629
18.6,0.3695200323525194,21.62,0.4937803459575219,31.62,9.061479860722963,37.12,2.5125644493519315,50.12,1.8721797129148303
18.61,0.37660236310213696,21.63,0.5027688552349758,31.63,9.304844982162132,37.13,2.5611834993051983,50.13,1.9203248895532676
18.62,0.38389019633392224,21.64,0.5120049083140795,31.64,9.558132875419664,37.14,2.611226193661498,50.14,1.970347564696013
18.63,0.3913915570199028,21.65,0.5214976738078033,31.65,9.821889576655524,37.15,2.6627486085591108,50.15,2.02234643636569
18.64,0.3991148655559426,21.66,0.5312567485256658,31.66,10.09669914490956,37.16,2.715809605843943,50.16,2.0764267601265467
18.65,0.40706896136556775,21.67,0.5412921816824116,31.67,10.3831868789035,37.17,2.770471000630616,50.17,2.1327008777440515
18.66,0.4152631281634395,21.68,0.5516145007176806,31.68,10.68202285533808,37.18,2.8267977407287197,50.18,2.191288796125124
18.67,0.4237071210130531,21.69,0.5622347388502458,31.69,10.993925825871274,37.19,2.8848580989039516,50.19,2.2523188220666013
18.68,0.4324111953257856,21.7,0.5731644645011599,31.7,11.319667514863145,37.2,2.944723879032248,50.2,2.3159282590293158
18.69,0.4413861379620311,21.71,0.5844158127320993,31.71,11.660077365605266,37.21,3.006470637305306,50.21,2.3822641729446064
18.7,0.4506433006102744,21.72,0.5960015188579681,31.72,12.01604778922016,37.22,3.070177919755664,50.22,2.451484234960792
18.71,0.4601946356367832,21.73,0.6079349544073366,31.73,12.388539977887865,37.23,3.135929517489408,50.23,2.52375765006666
18.72,0.4700527346169424,21.74,0.6202301656197639,31.74,12.778590352669578,37.24,3.203813741150436,50.24,2.5992661817123146
18.73,0.4802308697799484,21.75,0.6329019146866011,31.75,13.187317726185553,37.25,3.2739237162877908,50.25,2.678205283903992
18.74,0.490743038621117,21.76,0.645965723960716,31.76,13.615931271970297,37.26,3.346357701463968,50.26,2.7607853538129272
18.75,0.5016040119615196,21.77,0.6594379233818688,31.77,14.06573940579142,37.27,3.4212194311238804,50.27,2.8472331197379046
18.76,0.5128293857625011,21.78,0.6733357013875955,31.78,14.538159699889636,37.28,3.4986184854495352,50.28,2.9377931813435274
