noise,h,x0,ganma,2theta,FWHM,thetas,intensity
240.75000000000009,17175.504827642697,28.648590273974076,0.04711410052148479,28.648590273974076,0.09422820104296958,27.5,28.854868559434497
,,,,,,27.502,28.955449752368274
,,,,,,27.504,29.0565574683912
,,,,,,27.506,29.158195386827565
,,,,,,27.508000000000003,29.260367219178924
,,,,,,27.51,29.363076709460728
,,,,,,27.511999999999997,29.466327634545628
,,,,,,27.514,29.570123804510107
,,,,,,27.516,29.67446906298348
,,,,,,27.518,29.779367287504925
,,,,,,27.52,29.88482238988129
,,,,,,27.522,29.99083831655217
,,,,,,27.524,30.097419048957757
,,,,,,27.526,30.204568603911188
,,,,,,27.528000000000002,30.312291033977477
,,,,,,27.53,30.420590427854265
,,,,,,27.531999999999996,30.52947091076004
,,,,,,27.534000000000002,30.638936644826423
,,,,,,27.535999999999998,30.74899182949229
,,,,,,27.538,30.859640701909665
,,,,,,27.54,30.97088753734683
,,,,,,27.541999999999998,31.082736649602705
,,,,,,27.544,31.195192391423223
,,,,,,27.546,31.30825915492322
,,,,,,27.548000000000002,31.421941372015596
,,,,,,27.55,31.53624351484301
,,,,,,27.552,31.65117009621803
,,,,,,27.554000000000002,31.766725670066847
,,,,,,27.555999999999997,31.882914831878495
,,,,,,27.558000000000003,31.999742219163053
,,,,,,27.56,32.11721251190939
,,,,,,27.561999999999998,32.23533043305697
,,,,,,27.564,32.354100748966545
,,,,,,27.566,32.473528269900136
,,,,,,27.568,32.5936178505082
,,,,,,27.57,32.71437439031998
,,,,,,27.572,32.835802834243516
,,,,,,27.574,32.95790817306991
,,,,,,27.576,33.08069544398422
,,,,,,27.578000000000003,33.20416973108512
,,,,,,27.58,33.328336165907906
,,,,,,27.581999999999997,33.453199927958636
,,,,,,27.584,33.57876624525097
,,,,,,27.586,33.705040394852126
,,,,,,27.588,33.832027703437355
,,,,,,27.59,33.959733547848224
,,,,,,27.592,34.088163355662054
,,,,,,27.594,34.2173226057663
,,,,,,27.596,34.347216828940674
,,,,,,27.598000000000003,34.4778516084493
,,,,,,27.6,34.60923258063721
,,,,,,27.601999999999997,34.74136543553808
,,,,,,27.604,34.87425591748891
,,,,,,27.605999999999998,35.00790982575053
,,,,,,27.608,35.14233301514119
,,,,,,27.61,35.27753139667388
,,,,,,27.612,35.41351093820601
,,,,,,27.614,35.550277665095514
,,,,,,27.616,35.68783766086577
,,,,,,27.618000000000002,35.82619706788183
,,,,,,27.62,35.96536208803242
,,,,,,27.622,36.105338983424595
,,,,,,27.624000000000002,36.24613407708551
,,,,,,27.625999999999998,36.387753753673515
,,,,,,27.628,36.530204460202675
,,,,,,27.63,36.67349270677089
,,,,,,27.631999999999998,36.817625067304384
