200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity
23.1,1.2862014192876995e-29,32.69,9.925370633725963e-23,38.63,1.616109936884645e-38,51.63,3.169838222476851e-90
23.11,2.6251983611890417e-31,32.7,2.429001978402904e-24,38.64,2.875781825369656e-40,51.64,9.264805395539882e-93
23.12,4.842069288901785e-33,32.71,5.305074922053641e-26,38.65,4.702865296514471e-42,51.65,2.501946076462012e-95
23.13,8.07078188378317e-35,32.72,1.0340408420983132e-27,38.66,7.06790518706062e-44,51.66,6.242549994062146e-98
23.14,1.2156707196031985e-36,32.73,1.7987316707333819e-29,38.67,9.762037265866247e-46,51.67,1.4390919807158628e-100
23.15,1.6547486591608046e-38,32.74,2.7923997346141292e-31,38.68,1.2391154673722318e-47,51.68,3.065190826993717e-103
23.16,2.0354660100248633e-40,32.75,3.868755755621079e-33,38.69,1.4454552996371025e-49,51.69,6.032105399824301e-106
23.17,2.2626188794581824e-42,32.76,4.783519566048207e-35,38.7,1.549598274412562e-51,51.7,1.0967881908594325e-108
23.18,2.2728705108892897e-44,32.77,5.2784488170459815e-37,38.71,1.5267050886357452e-53,51.71,1.8425490172536832e-111
23.19,2.063258850350014e-46,32.78,5.198135458146718e-39,38.72,1.382333244972313e-55,51.72,2.8599456160045006e-114
23.2,1.6925771546983938e-48,32.79,4.568476426206117e-41,38.73,1.1502491561776818e-57,51.73,4.1014643354299e-117
23.21,1.254755095939937e-50,32.8,3.5832548859615937e-43,38.74,8.796150764792117e-60,51.74,5.434536929449092e-120
23.22,8.405918924627505e-53,32.81,2.5082252355106175e-45,38.75,6.181800372342891e-62,51.75,6.653169519549272e-123
23.23,5.0889380142983286e-55,32.82,1.5668877387462988e-47,38.76,3.9926280995280945e-64,,
23.24,2.784100192975426e-57,32.83,8.735580074720463e-50,38.77,2.3698688482150915e-66,,
23.25,1.3764432018639847e-59,32.84,4.346384404939834e-52,38.78,1.2927404442478002e-68,,
23.26,6.149608456852227e-62,32.85,1.9299543487210438e-54,38.79,6.4806703500058555e-71,,
23.27,2.4828607940176135e-64,32.86,7.648010167780289e-57,38.8,2.9857270057147486e-73,,
23.28,9.058848811929647e-67,32.87,2.7047827923517536e-59,38.81,1.2641593828087051e-75,,
23.29,2.9868223172489403e-69,32.88,8.536873592919993e-62,38.82,4.918980934020271e-78,,
23.3,8.89941581485726e-72,32.89,2.4046275834154197e-64,38.83,1.7590169191871903e-80,,
23.31,2.3962346616455155e-74,32.9,6.044763532391444e-67,38.84,5.78078031023947e-83,,
23.32,5.830595701618946e-77,32.91,1.3561050261435067e-69,38.85,1.7459205787223208e-85,,
23.33,1.2820714986478055e-79,32.92,2.7151251514130394e-72,38.86,4.8460074065300415e-88,,
23.34,2.5475768775222435e-82,32.93,4.85142026379162e-75,38.87,1.2361330949091037e-90,,
23.35,4.5746522565317135e-85,32.94,7.736249376878313e-78,38.88,2.89779704335903e-93,,
23.36,7.423429871833937e-88,32.95,1.1009676074253347e-80,38.89,6.242984644694377e-96,,
23.37,1.0885963379847795e-90,32.96,1.3983025184921516e-83,38.9,1.2360559775974149e-98,,
23.38,1.4425964636356485e-93,32.97,1.5849306212184461e-86,38.91,2.249083515186995e-101,,
23.39,1.7275816912044494e-96,32.98,1.6032523688048786e-89,38.92,3.7609243368109475e-104,,
23.4,1.8695972374487687e-99,32.99,1.447358254044557e-92,38.93,5.77969845970561e-107,,
23.41,1.828408610715846e-102,33.0,1.1660917208378175e-95,38.94,8.162765798748506e-110,,
23.42,1.6158989303249604e-105,33.01,8.38439826526946e-99,38.95,1.059475851061597e-112,,
23.43,1.2905382004748278e-108,33.02,5.38014034608375e-102,38.96,1.263765103223263e-115,,
23.44,9.314150919195062e-112,33.03,3.0810434856657683e-105,38.97,1.3853618576449182e-118,,
23.45,6.074791998173453e-115,33.04,1.5746519268465345e-108,38.98,1.395666532477616e-121,,
23.46,3.5804308390467636e-118,33.05,7.18213935922512e-112,38.99,1.2921760082036893e-124,,
23.47,1.907018479198124e-121,33.06,2.923516870601552e-115,39.0,1.099469668433851e-127,,
23.48,9.178891769942385e-125,33.07,1.0620376150080122e-118,,,,
23.49,3.9924669711437955e-128,33.08,3.443156088355562e-122,,,,
23.5,1.5693078612449806e-131,33.09,9.962218000167693e-126,,,,
23.51,5.574304696261163e-135,33.1,2.5723963748986483e-129,,,,
23.52,1.789324023902628e-138,33.11,5.927918915559822e-133,,,,
23.53,5.190426162045303e-142,33.12,1.2191275287195662e-136,,,,
23.54,1.3606072378779827e-145,33.13,2.237579833965102e-140,,,,
23.55,3.223133335520821e-149,33.14,3.6651390723921827e-144,,,,
