noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
136.59466661382297,2188.5475820111856,32.37649883576381,0.048652422616355544,1e-05,32.37649883576381,0.09756439446590905,31.5,6.757242544706412
,,,,,,,31.51,6.91361610786764
,,,,,,,31.52,7.0754752842896
,,,,,,,31.53,7.243079398456267
,,,,,,,31.54,7.416703264105182
,,,,,,,31.55,7.596638306499637
,,,,,,,31.56,7.7831937806074
,,,,,,,31.57,7.976698094658285
,,,,,,,31.58,8.177500249613264
,,,,,,,31.59,8.385971406279548
,,,,,,,31.6,8.60250659315342
,,,,,,,31.61,8.827526569602524
,,,,,,,31.62,9.061479860722963
,,,,,,,31.63,9.304844982162134
,,,,,,,31.64,9.558132875419664
,,,,,,,31.65,9.821889576655522
,,,,,,,31.66,10.096699144909559
,,,,,,,31.67,10.3831868789035
,,,,,,,31.68,10.682022855338081
,,,,,,,31.69,10.993925825871276
,,,,,,,31.7,11.319667514863145
,,,,,,,31.71,11.660077365605263
,,,,,,,31.72,12.01604778922016
,,,,,,,31.73,12.388539977887863
,,,,,,,31.74,12.778590352669578
,,,,,,,31.75,13.187317726185551
,,,,,,,31.76,13.615931271970295
,,,,,,,31.77,14.06573940579142
,,,,,,,31.78,14.538159699889638
,,,,,,,31.79,15.034729969404493
,,,,,,,31.8,15.557120691685592
,,,,,,,31.81,16.107148944326937
,,,,,,,31.82,16.68679407735691
,,,,,,,31.83,17.29821536990004
,,,,,,,31.84,17.94377196290875
,,,,,,,31.85,18.626045408497852
,,,,,,,31.86,19.347865234643123
,,,,,,,31.87,20.11233799344813
,,,,,,,31.88,20.92288034428668
,,,,,,,31.89,21.783256822895083
,,,,,,,31.9,22.697623067616497
,,,,,,,31.91,23.670575419199345
,,,,,,,31.92,24.70720798659605
,,,,,,,31.93,25.81317848550549
,,,,,,,31.94,26.994784418180252
,,,,,,,31.95,28.25905148408662
,,,,,,,31.96,29.61383650640083
,,,,,,,31.97,31.06794764823298
,,,,,,,31.98,32.63128529976565
,,,,,,,31.99,34.31500777512171
,,,,,,,32.0,36.131726907556754
,,,,,,,32.01,38.09573982790599
,,,,,,,32.02,40.22330472594292
,,,,,,,32.03,42.53297032211445
,,,,,,,32.04,45.04597124436745
,,,,,,,32.05,47.786704680178346
,,,,,,,32.06,50.78330778527751
,,,,,,,32.07,54.06836068633171
,,,,,,,32.08,57.679746936595464
,,,,,,,32.09,61.66171255029129
,,,,,,,32.1,66.0661770553895
,,,,,,,32.11,70.9543664834143
,,,,,,,32.12,76.3988604288252
,,,,,,,32.13,82.48617547995129
,,,,,,,32.14,89.32004860956536
,,,,,,,32.15,97.02564104757577
,,,,,,,32.16,105.75496227256835
,,,,,,,32.17,115.6939245141285
,,,,,,,32.18,127.07159429416195
,,,,,,,32.19,140.1724290082923
,,,,,,,32.2,155.35260219050218
,,,,,,,32.21,173.06197201922305
,,,,,,,32.22,193.87389071868884
,,,,,,,32.23,218.5259618460857
,,,,,,,32.24,247.97611121479417
,,,,,,,32.25,283.4800001347214
,,,,,,,32.26,326.69778217121427
,,,,,,,32.27,379.8398986085355
,,,,,,,32.28,445.86101908404777
,,,,,,,32.29,528.7025731927087
,,,,,,,32.3,633.55222301801
,,,,,,,32.31,766.9952157658092
,,,,,,,32.32,936.6941311015086
,,,,,,,32.33,1149.7059435835142
,,,,,,,32.34,1407.6598348031866
,,,,,,,32.35,1696.588297277425
,,,,,,,32.36,1972.9879068010691
,,,,,,,32.37,2161.3174264374675
,,,,,,,32.38,2188.5475820111856
,,,,,,,32.39,2042.5867126244743
,,,,,,,32.4,1783.6931332277543
,,,,,,,32.41,1492.3105574410197
,,,,,,,32.42,1222.5281594944777
,,,,,,,32.43,995.7577328677958
,,,,,,,32.44,813.7016797927213
,,,,,,,32.45,670.2184155252539
,,,,,,,32.46,557.5509016075359
,,,,,,,32.47,468.7191985049315
,,,,,,,32.48,398.12137049354266
,,,,,,,32.49,341.4684595320031
,,,,,,,32.5,295.537313544268
,,,,,,,32.51,257.91709902168174
,,,,,,,32.52,226.8000467951488
,,,,,,,32.53,200.82202427714677
,,,,,,,32.54,178.94514063136165
,,,,,,,32.55,160.3724689527242
,,,,,,,32.56,144.486296298747
,,,,,,,32.57,130.80330175900068
,,,,,,,32.58,118.94184108896485
,,,,,,,32.59,108.59789388032763
,,,,,,,32.6,99.52723473019171
,,,,,,,32.61,91.532104290503
,,,,,,,32.62,84.45115783651833
,,,,,,,32.63,78.15182021634259
,,,,,,,32.64,72.52442223229151
,,,,,,,32.65,67.4776667872368
,,,,,,,32.66,62.93509580681364
,,,,,,,32.67,58.83231639052997
,,,,,,,32.68,55.11480743048327
,,,,,,,32.69,51.736173361132046
,,,,,,,32.7,48.6567448211489
,,,,,,,32.71,45.84245033785712
,,,,,,,32.72,43.263901153061624
,,,,,,,32.73,40.895644736745254
,,,,,,,32.74,38.71555261882894
,,,,,,,32.75,36.70431579450434
,,,,,,,32.76,34.84502676340651
,,,,,,,32.77,33.122831710523975
,,,,,,,32.78,31.524639765628788
,,,,,,,32.79,30.038878937485887
,,,,,,,32.8,28.655290393728396
,,,,,,,32.81,27.364754384589094
,,,,,,,32.82,26.159142392057014
,,,,,,,32.83,25.031191103268885
,,,,,,,32.84,23.97439461732994
,,,,,,,32.85,22.982911943328737
,,,,,,,32.86,22.051487368827043
,,,,,,,32.87,21.175381699306428
,,,,,,,32.88,20.35031271062527
,,,,,,,32.89,19.572403434749905
,,,,,,,32.9,18.83813712645287
,,,,,,,32.91,18.14431794536114
,,,,,,,32.92,17.488036541481762
,,,,,,,32.93,16.866639859459916
,,,,,,,32.94,16.277704582249562
,,,,,,,32.95,15.71901372264475
,,,,,,,32.96,15.188535944371017
,,,,,,,32.97,14.684407255797636
,,,,,,,32.98,14.204914770885471
,,,,,,,32.99,13.748482275393625
,,,,,,,33.0,13.313657373063961
,,,,,,,33.01,12.899100017569138
,,,,,,,33.02,12.50357226241652
,,,,,,,33.03,12.125929083467383
,,,,,,,33.04,11.765110147919094
,,,,,,,33.05,11.420132420023695
,,,,,,,33.06,11.09008350788952
,,,,,,,33.07,10.774115667825631
,,,,,,,33.08,10.471440393112541
,,,,,,,33.09,10.181323523096227
,,,,,,,33.1,9.903080816287291
,,,,,,,33.11,9.636073937902927
,,,,,,,33.12,9.379706818162816
,,,,,,,33.13,9.133422342750128
,,,,,,,33.14,8.896699341307619
,,,,,,,33.15,8.669049843724132
,,,,,,,33.16,8.450016577377426
,,,,,,,33.17,8.23917068147746
,,,,,,,33.18,8.036109617279592
,,,,,,,33.19,7.840455255237947
,,,,,,,33.2,7.65185212220483
,,,,,,,33.21,7.469965793569696
,,,,,,,33.22,7.29448141681462
,,,,,,,33.23,7.125102354368369
,,,,,,,33.24,6.961548934878034
,,,,,,,33.25,6.8035573031234655
,,,,,,,33.26,6.650878359775773
,,,,,,,33.27,6.503276783077352
,,,,,,,33.28,6.360530125294434
,,,,,,,33.29,6.2224279774869755
