noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
104.82775092660532,941.0520974989641,38.165752334951165,0.05394052373253574,1e-05,38.165752334951165,0.10811533718799964,37.0,2.022960517408502
,,,,,,,37.01,2.058042364518981
,,,,,,,37.02,2.094044077280552
,,,,,,,37.03,2.1309980735713303
,,,,,,,37.04,2.1689382109233892
,,,,,,,37.05,2.207899863869032
,,,,,,,37.06,2.247920006175078
,,,,,,,37.07,2.2890372983207703
,,,,,,,37.08,2.3312921806051015
,,,,,,,37.09,2.3747269723004654
,,,,,,,37.1,2.419385977305447
,,,,,,,37.11,2.4653155967880576
,,,,,,,37.12,2.512564449351932
,,,,,,,37.13,2.561183499305198
,,,,,,,37.14,2.611226193661498
,,,,,,,37.15,2.662748608559111
,,,,,,,37.16,2.715809605843943
,,,,,,,37.17,2.770471000630616
,,,,,,,37.18,2.8267977407287193
,,,,,,,37.19,2.884858098903952
,,,,,,,37.2,2.9447238790322476
,,,,,,,37.21,3.006470637305306
,,,,,,,37.22,3.070177919755664
,,,,,,,37.23,3.1359295174894077
,,,,,,,37.24,3.203813741150436
,,,,,,,37.25,3.2739237162877908
,,,,,,,37.26,3.3463577014639676
,,,,,,,37.27,3.4212194311238804
,,,,,,,37.28,3.498618485449535
,,,,,,,37.29,3.578670689652531
,,,,,,,37.3,3.661498545408183
,,,,,,,37.31,3.7472316974194007
,,,,,,,37.32,3.836007438412319
,,,,,,,37.33,3.9279712562204763
,,,,,,,37.34,4.023277427007377
,,,,,,,37.35,4.122089659122332
,,,,,,,37.36,4.2245817925823825
,,,,,,,37.37,4.330938559730878
,,,,,,,37.38,4.441356413255867
,,,,,,,37.39,4.556044428459999
,,,,,,,37.4,4.675225287478192
,,,,,,,37.41,4.799136354043533
,,,,,,,37.42,4.928030848432388
,,,,,,,37.43,5.06217913338252
,,,,,,,37.44,5.201870123104515
,,,,,,,37.45,5.347412829009913
,,,,,,,37.46,5.49913805749874
,,,,,,,37.47,5.657400277109604
,,,,,,,37.48,5.822579674574107
,,,,,,,37.49,5.995084421889485
,,,,,,,37.5,6.175353179468215
,,,,,,,37.51,6.3638578638169125
,,,,,,,37.52,6.561106712098778
,,,,,,,37.53,6.7676476804466965
,,,,,,,37.54,6.9840722181116135
,,,,,,,37.55,7.211019465574865
,,,,,,,37.56,7.44918093178445
,,,,,,,37.57,7.699305713852705
,,,,,,,37.58,7.962206332105524
,,,,,,,37.59,8.238765264536204
,,,,,,,37.6,8.529942277818494
,,,,,,,37.61,8.836782667430024
,,,,,,,37.62,9.160426537575997
,,,,,,,37.63,9.502119273051528
,,,,,,,37.64,9.863223380580756
,,,,,,,37.65,10.24523190736567
,,,,,,,37.66,10.649783680544106
,,,,,,,37.67,11.07868065426568
,,,,,,,37.68,11.5339077026433
,,,,,,,37.69,12.017655258859849
,,,,,,,37.7,12.532345275536299
,,,,,,,37.71,13.0806610720986
,,,,,,,37.72,13.66558174500814
,,,,,,,37.73,14.290421951026442
,,,,,,,37.74,14.958878038137321
,,,,,,,37.75,15.67508170084827
,,,,,,,37.76,16.44366258601988
,,,,,,,37.77,17.269821584440614
,,,,,,,37.78,18.159416928073526
,,,,,,,37.79,19.119065693865718
,,,,,,,37.8,20.156263919114014
,,,,,,,37.81,21.279529295877445
,,,,,,,37.82,22.498571379060675
,,,,,,,37.83,23.82449547591916
,,,,,,,37.84,25.2700479652987
,,,,,,,37.85,26.849912832101463
,,,,,,,37.86,28.58107184300723
,,,,,,,37.87,30.48324423205383
,,,,,,,37.88,32.57942627991663
,,,,,,,37.89,34.89655712889917
,,,,,,,37.9,37.46634508689099
,,,,,,,37.91,40.326299243606904
,,,,,,,37.92,43.521025433174934
,,,,,,,37.93,47.103864798989676
,,,,,,,37.94,51.13897936869606
,,,,,,,37.95,55.70402481739175
,,,,,,,37.96,60.893599744520074
,,,,,,,37.97,66.82372853305027
,,,,,,,37.98,73.63772833775421
,,,,,,,37.99,81.513939450199
,,,,,,,38.0,90.67597411082615
,,,,,,,38.01,101.40637491264464
,,,,,,,38.02,114.06487996220245
,,,,,,,38.03,129.11286063943044
,,,,,,,38.04,147.1458695366184
,,,,,,,38.05,168.93641203226997
,,,,,,,38.06,195.48848973169953
,,,,,,,38.07,228.1027902143344
,,,,,,,38.08,268.44338177487197
,,,,,,,38.09,318.5762204351002
,,,,,,,38.1,380.9021388615997
,,,,,,,38.11,457.80830982610183
,,,,,,,38.12,550.6946038354582
,,,,,,,38.13,657.8727699481803
,,,,,,,38.14,771.124721954168
,,,,,,,38.15,872.4804578454517
,,,,,,,38.16,936.2402351999285
,,,,,,,38.17,941.0520974989641
,,,,,,,38.18,885.1335895961379
,,,,,,,38.19,787.7119706476458
,,,,,,,38.2,674.8456971279107
,,,,,,,38.21,566.0158563229007
,,,,,,,38.22,470.75576344947865
,,,,,,,38.23,391.4895383480108
,,,,,,,38.24,327.11341853991865
,,,,,,,38.25,275.3050253162395
,,,,,,,38.26,233.6328587987081
,,,,,,,38.27,199.97204125185766
,,,,,,,38.28,172.5991181629637
,,,,,,,38.29,150.162782589013
,,,,,,,38.3,131.61875906210332
,,,,,,,38.31,116.16349125666083
,,,,,,,38.32,103.17781173944034
,,,,,,,38.33,92.18246634846345
,,,,,,,38.34,82.80416160943093
,,,,,,,38.35,74.7500385722763
,,,,,,,38.36,67.78858854652046
,,,,,,,38.37,61.735386488384464
,,,,,,,38.38,56.44239279622801
,,,,,,,38.39,51.78989091046611
,,,,,,,38.4,47.68037429077212
,,,,,,,38.41,44.033880398374826
,,,,,,,38.42,40.78440428830544
,,,,,,,38.43,37.8771225267316
,,,,,,,38.44,35.2662292541773
,,,,,,,38.45,32.91323778569973
,,,,,,,38.46,30.785638650967403
,,,,,,,38.47,28.85583238211947
,,,,,,,38.48,27.100275483314967
,,,,,,,38.49,25.498792881574822
,,,,,,,38.5,24.034021205660142
,,,,,,,38.51,22.69095550014462
,,,,,,,38.52,21.456578197281537
,,,,,,,38.53,20.31955387497881
,,,,,,,38.54,19.269976913824685
,,,,,,,38.55,18.29916191314468
,,,,,,,38.56,17.399468843516438
,,,,,,,38.57,16.564156554715368
,,,,,,,38.58,15.787259537643129
,,,,,,,38.59,15.063483841637673
,,,,,,,38.6,14.38811883854028
,,,,,,,38.61,13.756962150359396
,,,,,,,38.62,13.1662555549814
,,,,,,,38.63,12.612630082088522
,,,,,,,38.64,12.093058830800306
,,,,,,,38.65,11.604816298068961
,,,,,,,38.66,11.145443215425361
