noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
91.45868704916896,300.91835511547555,22.73183719853476,0.04503796010956678,1e-05,22.73183719853476,0.09035612040956023,21.5,0.40238469379267555
,,,,,,,21.51,0.4089892252459938
,,,,,,,21.52,0.4157576301381832
,,,,,,,21.53,0.4226953724974848
,,,,,,,21.54,0.4298081458882001
,,,,,,,21.55,0.4371018850739345
,,,,,,,21.56,0.444582778377757
,,,,,,,21.57,0.4522572807873423
,,,,,,,21.58,0.4601321278567398
,,,,,,,21.59,0.46821435046065873
,,,,,,,21.6,0.47651129046142343
,,,,,,,21.61,0.4850306173537321
,,,,,,,21.62,0.4937803459575219
,,,,,,,21.63,0.5027688552349758
,,,,,,,21.64,0.5120049083140795
,,,,,,,21.65,0.5214976738078033
,,,,,,,21.66,0.5312567485256658
,,,,,,,21.67,0.5412921816824116
,,,,,,,21.68,0.5516145007176806
,,,,,,,21.69,0.5622347388502458
,,,,,,,21.7,0.5731644645011599
,,,,,,,21.71,0.5844158127320993
,,,,,,,21.72,0.5960015188579681
,,,,,,,21.73,0.6079349544073366
,,,,,,,21.74,0.6202301656197639
,,,,,,,21.75,0.632901914686601
,,,,,,,21.76,0.645965723960716
,,,,,,,21.77,0.6594379233818688
,,,,,,,21.78,0.6733357013875955
,,,,,,,21.79,0.6876771596051784
,,,,,,,21.8,0.7024813716489513
,,,,,,,21.81,0.7177684463784708
,,,,,,,21.82,0.7335595960084257
,,,,,,,21.83,0.7498772094997198
,,,,,,,21.84,0.7667449317047232
,,,,,,,21.85,0.7841877487874894
,,,,,,,21.86,0.8022320804936338
,,,,,,,21.87,0.8209058799042118
,,,,,,,21.88,0.8402387413747252
,,,,,,,21.89,0.860262017435312
,,,,,,,21.9,0.8810089455114678
,,,,,,,21.91,0.9025147854188501
,,,,,,,21.92,0.9248169686905557
,,,,,,,21.93,0.9479552609139941
,,,,,,,21.94,0.9719719383874387
,,,,,,,21.95,0.9969119805564863
,,,,,,,21.96,1.0228232798604127
,,,,,,,21.97,1.0497568708095815
,,,,,,,21.98,1.077767180332528
,,,,,,,21.99,1.1069123016767641
,,,,,,,22.0,1.1372542944273414
,,,,,,,22.01,1.168859513524402
,,,,,,,22.02,1.2017989705236536
,,,,,,,22.03,1.236148730756728
,,,,,,,22.04,1.2719903505209544
,,,,,,,22.05,1.309411358969898
,,,,,,,22.06,1.3485057899966153
,,,,,,,22.07,1.3893747701166648
,,,,,,,22.08,1.4321271691799289
,,,,,,,22.09,1.4768803216910482
,,,,,,,22.1,1.5237608276159735
,,,,,,,22.11,1.5729054428264253
,,,,,,,22.12,1.6244620708127884
,,,,,,,22.13,1.678590869018209
,,,,,,,22.14,1.7354654851569098
,,,,,,,22.15,1.7952744412295571
,,,,,,,22.16,1.858222685706051
,,,,,,,22.17,1.9245333375850713
,,,,,,,22.18,1.9944496498597284
,,,,,,,22.19,2.0682372244308636
,,,,,,,22.2,2.146186515857423
,,,,,,,22.21,2.228615667689872
,,,,,,,22.22,2.315873732706677
,,,,,,,22.23,2.40834433743282
,,,,,,,22.24,2.506449862180465
,,,,,,,22.25,2.610656220925273
,,,,,,,22.26,2.721478341112026
,,,,,,,22.27,2.839486462607073
,,,,,,,22.28,2.9653133982669706
,,,,,,,22.29,3.099662926975386
,,,,,,,22.3,3.243319524782334
,,,,,,,22.31,3.39715968257027
,,,,,,,22.32,3.562165111548092
,,,,,,,22.33,3.7394382034863516
,,,,,,,22.34,3.9302201944093795
,,,,,,,22.35,4.135912582914215
,,,,,,,22.36,4.358102483256527
,,,,,,,22.37,4.598592756511238
,,,,,,,22.38,4.859437970661944
,,,,,,,22.39,5.142987505942234
,,,,,,,22.4,5.451937463269038
,,,,,,,22.41,5.789393475643938
,,,,,,,22.42,6.158947098125643
,,,,,,,22.43,6.564769206802285
,,,,,,,22.44,7.011724833600604
,,,,,,,22.45,7.505515188514767
,,,,,,,22.46,8.052854395248552
,,,,,,,22.47,8.661690861375591
,,,,,,,22.48,9.341486463128819
,,,,,,,22.49,10.103571196324406
,,,,,,,22.5,10.961597132511256
,,,,,,,22.51,11.932124157260528
,,,,,,,22.52,13.035382133876094
,,,,,,,22.53,14.29627142595364
,,,,,,,22.54,15.745688500980616
,,,,,,,22.55,17.422299174902463
,,,,,,,22.56,19.374934257689407
,,,,,,,22.57,21.66585884012883
,,,,,,,22.58,24.37527885565474
,,,,,,,22.59,27.607613401167086
,,,,,,,22.6,31.500300455256266
,,,,,,,22.61,36.236240872895735
,,,,,,,22.62,42.061430468143335
,,,,,,,22.63,49.3098234182504
,,,,,,,22.64,58.437719155930694
,,,,,,,22.65,70.06897380826749
,,,,,,,22.66,85.0471436957827
,,,,,,,22.67,104.47319761574121
,,,,,,,22.68,129.65800286860124
,,,,,,,22.69,161.79977778155254
,,,,,,,22.7,200.98584166969349
,,,,,,,22.71,244.04603950677125
,,,,,,,22.72,281.9430089577588
,,,,,,,22.73,300.91835511547555
,,,,,,,22.74,291.8327037644587
,,,,,,,22.75,259.25563341173023
,,,,,,,22.76,216.68994694638377
,,,,,,,22.77,175.4479321559878
,,,,,,,22.78,140.6149240880345
,,,,,,,22.79,112.98591581810182
,,,,,,,22.8,91.60179474998004
,,,,,,,22.81,75.13097942968423
,,,,,,,22.82,62.38117663057565
,,,,,,,22.83,52.41644873810687
,,,,,,,22.84,44.53827021345921
,,,,,,,22.85,38.234576873329885
,,,,,,,22.86,33.131025607110935
,,,,,,,22.87,28.952646624545654
,,,,,,,22.88,25.495738691808512
,,,,,,,22.89,22.60784133256779
,,,,,,,22.9,20.173591098109537
,,,,,,,22.91,18.104728746643417
,,,,,,,22.92,16.333000782567083
,,,,,,,22.93,14.805076313540674
,,,,,,,22.94,13.478872796205385
,,,,,,,22.95,12.320873610054216
,,,,,,,22.96,11.30414985421094
,,,,,,,22.97,10.406886850112222
,,,,,,,22.98,9.611275864166283
,,,,,,,22.99,8.902672680038293
,,,,,,,23.0,8.268953007826715
,,,,,,,23.01,7.700014434835469
,,,,,,,23.02,7.187388451797445
,,,,,,,23.03,6.723935874564879
,,,,,,,23.04,6.303605968589858
,,,,,,,23.05,5.921244616709139
,,,,,,,23.06,5.572440527802191
,,,,,,,23.07,5.25340116344136
,,,,,,,23.08,4.960852039019439
,,,,,,,23.09,4.691954529455198
,,,,,,,23.1,4.444238414991632
,,,,,,,23.11,4.215546237819254
,,,,,,,23.12,4.003987175741401
,,,,,,,23.13,3.8078986258399588
,,,,,,,23.14,3.625814066306301
,,,,,,,23.15,3.4564360556193185
,,,,,,,23.16,3.2986134552902473
,,,,,,,23.17,3.151322140535001
,,,,,,,23.18,3.0136486037559203
,,,,,,,23.19,2.8847759671495092
,,,,,,,23.2,2.763972009561896
,,,,,,,23.21,2.6505788838255238
,,,,,,,23.22,2.5440042580227256
,,,,,,,23.23,2.4437136603476666
,,,,,,,23.24,2.3492238447562674
,,,,,,,23.25,2.260097025160985
,,,,,,,23.26,2.1759358509388473
,,,,,,,23.27,2.096379017057051
,,,,,,,23.28,2.021097419050355
,,,,,,,23.29,1.949790777087309
,,,,,,,23.3,1.8821846649843812
,,,,,,,23.31,1.8180278897078332
,,,,,,,23.32,1.7570901749881107
,,,,,,,23.33,1.6991601094499134
,,,,,,,23.34,1.6440433253558588
,,,,,,,23.35,1.5915608788648774
,,,,,,,23.36,1.5415478067645143
,,,,,,,23.37,1.493851838077886
,,,,,,,23.38,1.4483322418702136
,,,,,,,23.39,1.4048587950709317
,,,,,,,23.4,1.3633108562565637
,,,,,,,23.41,1.3235765331607718
,,,,,,,23.42,1.2855519332428242
,,,,,,,23.43,1.2491404879900991
,,,,,,,23.44,1.2142523427903058
,,,,,,,23.45,1.180803805210882
,,,,,,,23.46,1.1487168453897936
,,,,,,,23.47,1.1179186429948973
,,,,,,,23.48,1.0883411758621033
,,,,,,,23.49,1.0599208459926397
,,,,,,,23.5,1.0325981390857228
