noise,a_ka1,b_ka2,c_ka2,2theta,FWHM,thetas,intensity
,,,,,,32.62,7.803497300859314e-13
,,,,,,32.63,4.2353840341741524e-14
,,,,,,32.64,2.0515344946691924e-15
,,,,,,32.65,8.868442813737156e-17
,,,,,,32.66,3.4213573245403223e-18
,,,,,,32.67,1.1779639941228007e-19
,,,,,,32.68,3.6194961219642504e-21
,,,,,,32.69,9.925370633725963e-23
,,,,,,32.7,2.4290019784029042e-24
,,,,,,32.71,5.305074922053642e-26
,,,,,,32.72,1.0340408420983132e-27
,,,,,,32.73,1.798731670733382e-29
,,,,,,32.74,2.7923997346141297e-31
,,,,,,32.75,3.868755755621079e-33
,,,,,,32.76,4.7835195660482076e-35
,,,,,,32.77,5.278448817045982e-37
,,,,,,32.78,5.1981354581467176e-39
,,,,,,32.79,4.568476426206117e-41
,,,,,,32.8,3.583254885961594e-43
,,,,,,32.81,2.5082252355106178e-45
,,,,,,32.82,1.566887738746299e-47
,,,,,,32.83,8.735580074720465e-50
,,,,,,32.84,4.346384404939835e-52
,,,,,,32.85,1.9299543487210438e-54
,,,,,,32.86,7.64801016778029e-57
,,,,,,32.87,2.704782792351754e-59
,,,,,,32.88,8.536873592919995e-62
,,,,,,32.89,2.4046275834154197e-64
,,,,,,32.9,6.044763532391444e-67
,,,,,,32.91,1.356105026143507e-69
,,,,,,32.92,2.7151251514130404e-72
,,,,,,32.93,4.851420263791621e-75
,,,,,,32.94,7.7362493768783145e-78
,,,,,,32.95,1.100967607425335e-80
,,,,,,32.96,1.3983025184921518e-83
,,,,,,32.97,1.5849306212184466e-86
,,,,,,32.98,1.603252368804879e-89
,,,,,,32.99,1.4473582540445573e-92
,,,,,,33.0,1.1660917208378178e-95
,,,,,,33.01,8.384398265269461e-99
,,,,,,33.02,5.3801403460837505e-102
,,,,,,33.03,3.0810434856657687e-105
,,,,,,33.04,1.5746519268465348e-108
,,,,,,33.05,7.182139359225123e-112
,,,,,,33.06,2.9235168706015535e-115
,,,,,,33.07,1.0620376150080124e-118
,,,,,,33.08,3.443156088355563e-122
,,,,,,33.09,9.962218000167697e-126
,,,,,,33.1,2.572396374898649e-129
,,,,,,33.11,5.927918915559824e-133
,,,,,,33.12,1.2191275287195664e-136
,,,,,,33.13,2.2375798339651022e-140
,,,,,,33.14,3.665139072392184e-144
,,,,,,33.15,5.357780229781132e-148
,,,,,,33.16,6.9897533368616335e-152
,,,,,,33.17,8.138068154141807e-156
,,,,,,33.18,8.455967653273103e-160
,,,,,,33.19,7.841295510198883e-164
,,,,,,33.2,6.489255100533021e-168
,,,,,,33.21,4.792745752066585e-172
,,,,,,33.22,3.15904965644705e-176
,,,,,,33.23,1.8582794831143804e-180
,,,,,,33.24,9.75546846080137e-185
,,,,,,33.25,4.570542421908724e-189
,,,,,,33.26,1.911040438832119e-193
,,,,,,33.27,7.131067178709972e-198
,,,,,,33.28,2.374770778221323e-202
,,,,,,33.29,7.057833073604188e-207
,,,,,,33.3,1.8719902681584685e-211
,,,,,,33.31,4.431168945997629e-216
,,,,,,33.32,9.360855652123594e-221
,,,,,,33.33,1.7647992310174718e-225
,,,,,,33.34,2.969323949873779e-230
,,,,,,33.35,4.4586396558320804e-235
,,,,,,33.36,5.974886852338724e-240
,,,,,,33.37,7.1456133729811494e-245
,,,,,,33.38,7.626615658628144e-250
,,,,,,33.39,7.264516678646797e-255
,,,,,,33.4,6.175385979447428e-260
,,,,,,33.41,4.6849397220594837e-265
,,,,,,33.42,3.1719506756271484e-270
,,,,,,33.43,1.916599458096896e-275
,,,,,,33.44,1.0335198317017306e-280
,,,,,,33.45,4.973805357562415e-286
,,,,,,33.46,2.1361968725561053e-291
,,,,,,33.47,8.187970736435586e-297
,,,,,,33.48,2.80087551212537e-302
,,,,,,33.49,8.550546027269525e-308
,,,,,,33.5,2.329573466e-313
,,,,,,33.51,5.6412e-319
,,,,,,33.52,0.0
,,,,,,33.53,0.0
,,,,,,33.54,0.0
,,,,,,33.55,0.0
,,,,,,33.56,0.0
,,,,,,33.57,0.0
,,,,,,33.58,0.0
,,,,,,33.59,0.0
