110theta,110intensity,200theta,200intensity,211theta,211intensity,220theta,220intensity,310theta,310intensity,222theta,222intensity
19.342,566.666667,27.842,245.833333,34.342,279.166667,40.342,120.833333,45.342,100,49.842,95.833333
19.344,654.166667,27.844,212.5,34.344,275,40.344,145.833333,45.344,87.5,49.844,108.333333
19.346,558.333333,27.846,187.5,34.346,258.333333,40.346,116.666667,45.346,87.5,49.846,125
19.348,541.666667,27.848,241.666667,34.348,237.5,40.348,133.333333,45.348,54.166667,49.848,91.666667
19.35,583.333333,27.85,241.666667,34.35,320.833333,40.35,125,45.35,50,49.85,120.833333
19.352,566.666667,27.852,225,34.352,241.666667,40.352,150,45.352,108.333333,49.852,87.5
19.354,541.666667,27.854,204.166667,34.354,333.333333,40.354,158.333333,45.354,79.166667,49.854,100
19.356,483.333333,27.856,220.833333,34.356,241.666667,40.356,141.666667,45.356,75,49.856,100
19.358,508.333333,27.858,187.5,34.358,270.833333,40.358,158.333333,45.358,91.666667,49.858,83.333333
19.36,637.5,27.86,262.5,34.36,283.333333,40.36,187.5,45.36,100,49.86,58.333333
19.362,445.833333,27.862,195.833333,34.362,258.333333,40.362,108.333333,45.362,83.333333,49.862,129.166667
19.364,545.833333,27.864,237.5,34.364,325,40.364,183.333333,45.364,54.166667,49.864,133.333333
19.366,545.833333,27.866,208.333333,34.366,291.666667,40.366,133.333333,45.366,104.166667,49.866,120.833333
19.368,641.666667,27.868,229.166667,34.368,266.666667,40.368,170.833333,45.368,95.833333,49.868,108.333333
19.37,520.833333,27.87,216.666667,34.37,241.666667,40.37,129.166667,45.37,100,49.87,104.166667
19.372,550,27.872,250,34.372,270.833333,40.372,133.333333,45.372,83.333333,49.872,116.666667
19.374,554.166667,27.874,212.5,34.374,329.166667,40.374,170.833333,45.374,75,49.874,137.5
19.376,625,27.876,241.666667,34.376,283.333333,40.376,145.833333,45.376,62.5,49.876,108.333333
19.378,633.333333,27.878,216.666667,34.378,370.833333,40.378,145.833333,45.378,58.333333,49.878,83.333333
19.38,537.5,27.88,287.5,34.38,329.166667,40.38,141.666667,45.38,70.833333,49.88,133.333333
19.382,575,27.882,250,34.382,308.333333,40.382,112.5,45.382,108.333333,49.882,79.166667
19.384,616.666667,27.884,175,34.384,375,40.384,125,45.384,133.333333,49.884,100
19.386,554.166667,27.886,229.166667,34.386,333.333333,40.386,170.833333,45.386,75,49.886,145.833333
19.388,520.833333,27.888,175,34.388,279.166667,40.388,162.5,45.388,87.5,49.888,70.833333
19.39,429.166667,27.89,204.166667,34.39,333.333333,40.39,120.833333,45.39,95.833333,49.89,87.5
19.392,604.166667,27.892,254.166667,34.392,245.833333,40.392,116.666667,45.392,112.5,49.892,100
19.394,516.666667,27.894,220.833333,34.394,283.333333,40.394,129.166667,45.394,91.666667,49.894,133.333333
19.396,570.833333,27.896,233.333333,34.396,362.5,40.396,112.5,45.396,54.166667,49.896,100
19.398,550,27.898,229.166667,34.398,329.166667,40.398,150,45.398,66.666667,49.898,95.833333
19.4,612.5,27.9,216.666667,34.4,400,40.4,162.5,45.4,75,49.9,104.166667
19.402,654.166667,27.902,270.833333,34.402,325,40.402,116.666667,45.402,112.5,49.902,87.5
19.404,554.166667,27.904,208.333333,34.404,212.5,40.404,141.666667,45.404,75,49.904,108.333333
19.406,550,27.906,175,34.406,312.5,40.406,145.833333,45.406,79.166667,49.906,112.5
