noise,h,x0,ganma,2theta,FWHM,thetas,intensity
94.48003859204937,353.21248120106475,52.32630503634198,0.047539016262115964,52.32630503634198,0.09507803252423193,51.76,2.4865752966641375
,,,,,,51.77,2.576120975596934
,,,,,,51.78,2.6705795887981094
,,,,,,51.79,2.770316236456844
,,,,,,51.8,2.8757304775087276
,,,,,,51.81,2.9872602955179244
,,,,,,51.82,3.105386605758587
,,,,,,51.83,3.230638389289167
,,,,,,51.84,3.363598555363507
,,,,,,51.85,3.504910652262554
,,,,,,51.86,3.6552865692828
,,,,,,51.87,3.815515400095395
,,,,,,51.88,3.986473671153978
,,,,,,51.89,4.169137179723423
,,,,,,51.9,4.364594736287962
,,,,,,51.91,4.574064167921684
,,,,,,51.92,4.79891101570972
,,,,,,51.93,5.040670454376239
,,,,,,51.94,5.301073080970359
,,,,,,51.95,5.582075368338453
,,,,,,51.96,5.885895766793956
,,,,,,51.97,6.215057675197128
,,,,,,51.98,6.572440805570653
,,,,,,51.99,6.961342853402747
,,,,,,52.0,7.385553885685932
,,,,,,52.01,7.849446506675555
,,,,,,52.02,8.358085706391485
,,,,,,52.03,8.917363406212575
,,,,,,52.04,9.534164182003634
,,,,,,52.05,10.216570596403733
,,,,,,52.06,10.974119187624595
,,,,,,52.07,11.818121694944354
,,,,,,52.08,12.762070909521494
,,,,,,52.09,13.822157135445705
,,,,,,52.1,15.017930367584679
,,,,,,52.11,16.373156008213982
,,,,,,52.12,17.916929810505426
,,,,,,52.13,19.68514303179062
,,,,,,52.14,21.72242484183309
,,,,,,52.15,24.08474074340452
,,,,,,52.16,26.84290019739626
,,,,,,52.17,30.08733383057726
,,,,,,52.18,33.934654111738816
,,,,,,52.19,38.536729739627916
,,,,,,52.2,44.093297959608385
,,,,,,52.21,50.869506550516164
,,,,,,52.22,59.220143933302374
,,,,,,52.23,69.62239355351336
,,,,,,52.24,82.7178538272621
,,,,,,52.25,99.35985191399332
,,,,,,52.26,120.64747691820732
,,,,,,52.27,147.88874712776558
,,,,,,52.28,182.34487954057
,,,,,,52.29,224.4451197437847
,,,,,,52.3,272.04992801926494
,,,,,,52.31,317.94434111888773
,,,,,,52.32,349.20367301536965
,,,,,,52.33,353.21248120106475
,,,,,,52.34,328.11620321908583
,,,,,,52.35,284.63353416597994
,,,,,,52.36,236.52274497231
,,,,,,52.37,192.61877469855534
,,,,,,52.38,156.1444649539575
,,,,,,52.39,127.12789278426995
,,,,,,52.4,104.41783424287664
,,,,,,52.41,86.67939794959517
,,,,,,52.42,72.75017971055743
,,,,,,52.43,61.71460744835184
,,,,,,52.44,52.88035891914377
,,,,,,52.45,45.7317386952511
