noise,h,x0,ganma,2theta,FWHM,thetas,intensity
44.86193681942892,352.36535292233754,19.661250430563307,0.09503183938488684,19.661250430563307,0.19006367876977368,18.5,2.3442714369385036
,,,,,,18.502,2.352313293095983
,,,,,,18.504,2.3603965075311897
,,,,,,18.506,2.3685213636855655
,,,,,,18.508,2.3766881474273007
,,,,,,18.51,2.384897147076208
,,,,,,18.512,2.393148653428892
,,,,,,18.514,2.401442959784356
,,,,,,18.516,2.409780361969759
,,,,,,18.518,2.41816115836659
,,,,,,18.52,2.426585649937049
,,,,,,18.522000000000002,2.4350541402509216
,,,,,,18.524,2.443566935512552
,,,,,,18.526,2.4521243445883667
,,,,,,18.528,2.460726679034568
,,,,,,18.53,2.469374253125252
,,,,,,18.532,2.4780673838807834
,,,,,,18.534000000000002,2.4868063910966756
,,,,,,18.535999999999998,2.495591597372588
,,,,,,18.538,2.5044233281419936
,,,,,,18.54,2.5133019117018125
,,,,,,18.542,2.522227679242814
,,,,,,18.544,2.5312009648800573
,,,,,,18.546,2.5402221056839704
,,,,,,18.548,2.54929144171163
,,,,,,18.55,2.5584093160385244
,,,,,,18.552,2.567576074790618
,,,,,,18.554000000000002,2.576792067176987
,,,,,,18.555999999999997,2.5860576455226005
,,,,,,18.558,2.59537316530186
,,,,,,18.56,2.6047389851721197
,,,,,,18.562,2.614155467008062
,,,,,,18.564,2.623622975936152
,,,,,,18.566,2.633141880369793
,,,,,,18.567999999999998,2.6427125520447365
,,,,,,18.57,2.652335366055039
,,,,,,18.572,2.662010700889376
,,,,,,18.574,2.6717389384679886
,,,,,,18.576,2.68152046417986
,,,,,,18.578,2.6913556669206016
,,,,,,18.58,2.701244939130642
,,,,,,18.582,2.7111886768340066
,,,,,,18.584,2.7211872796774723
,,,,,,18.586,2.7312411509704164
,,,,,,18.588,2.7413506977250064
,,,,,,18.59,2.751516330696898
,,,,,,18.592,2.7617384644266316
,,,,,,18.594,2.772017517281386
,,,,,,18.596,2.7823539114972764
,,,,,,18.598,2.7927480732223584
,,,,,,18.6,2.803200432560026
,,,,,,18.602,2.8137114236129683
,,,,,,18.604,2.824281484527867
,,,,,,18.605999999999998,2.834911057540482
,,,,,,18.608,2.845600589021444
,,,,,,18.61,2.8563505295225258
,,,,,,18.612000000000002,2.8671613338237263
,,,,,,18.614,2.8780334609806904
,,,,,,18.616,2.8889673743730326
,,,,,,18.618,2.899963541753082
,,,,,,18.62,2.911022435295395
,,,,,,18.622,2.9221445316467913
,,,,,,18.624000000000002,2.933330311977276
,,,,,,18.625999999999998,2.9445802620313084
,,,,,,18.628,2.955894872180191
,,,,,,18.63,2.9672746374746
,,,,,,18.632,2.978720057698372
,,,,,,18.634,2.990231637422556
,,,,,,18.636,3.001809886060534
,,,,,,18.637999999999998,3.013455317923636
,,,,,,18.64,3.0251684522776374
,,,,,,18.642,3.036949813399886
,,,,,,18.644000000000002,3.0487999306374234
,,,,,,18.646,3.060719338465583
,,,,,,18.648,3.0727085765476887
,,,,,,18.65,3.084768189795335
,,,,,,18.652,3.096898728429602
,,,,,,18.654,3.1091007480429877
,,,,,,18.656,3.1213748096623855
,,,,,,18.658,3.133721479812733
,,,,,,18.66,3.1461413305815262
,,,,,,18.662,3.1586349396844184
,,,,,,18.664,3.171202890531514
,,,,,,18.666,3.1838457722945797
,,,,,,18.668,3.1965641799753786
,,,,,,18.67,3.2093587144747415
,,,,,,18.672,3.2222299826625993
,,,,,,18.674,3.2351785974491865
,,,,,,18.676,3.2482051778569994
,,,,,,18.678,3.2613103490939044
,,,,,,18.68,3.2744947426271054
,,,,,,18.682000000000002,3.2877589962584266
,,,,,,18.684,3.301103754200265
,,,,,,18.686,3.3145296671529922
,,,,,,18.688,3.3280373923831554
,,,,,,18.69,3.3416275938029356
,,,,,,18.692,3.3553009420505764
,,,,,,18.694000000000003,3.3690581145722183
,,,,,,18.695999999999998,3.3828997957044926
,,,,,,18.698,3.396826676758809
,,,,,,18.7,3.410839456106195
,,,,,,18.702,3.4249388392639903
,,,,,,18.704,3.4391255389832462
,,,,,,18.706,3.4534002753377817
,,,,,,18.708,3.4677637758142383
,,,,,,18.71,3.48221677540357
,,,,,,18.712,3.496760016693701
,,,,,,18.714000000000002,3.5113942499638005
,,,,,,18.715999999999998,3.5261202332795003
,,,,,,18.718,3.5409387325900425
,,,,,,18.72,3.555850521826141
,,,,,,18.722,3.5708563829999593
,,,,,,18.724,3.5859571063059885
,,,,,,18.726,3.601153490223805
,,,,,,18.727999999999998,3.616446341622053
,,,,,,18.73,3.6318364758641013
,,,,,,18.732,3.6473247169150818
,,,,,,18.734,3.662911897450814
,,,,,,18.736,3.678598858967909
,,,,,,18.738,3.694386451895915
,,,,,,18.74,3.710275535710823
,,,,,,18.742,3.72626697905041
,,,,,,18.744,3.7423616598311322
,,,,,,18.746,3.758560465367035
,,,,,,18.748,3.774864292490193
,,,,,,18.75,3.7912740476729203
,,,,,,18.752,3.807790647152104
,,,,,,18.754,3.8244150170551157
,,,,,,18.756,3.841148093527624
,,,,,,18.758,3.857990822863598
,,,,,,18.76,3.8749441616370026
,,,,,,18.762,3.8920090768354885
,,,,,,18.764,3.9091865459963757
,,,,,,18.766,3.9264775573444046
,,,,,,18.768,3.9438831099317535
,,,,,,18.77,3.9614042137800274
,,,,,,18.772000000000002,3.9790418900247375
,,,,,,18.774,3.996797171061537
,,,,,,18.776,4.014671100695167
,,,,,,18.778,4.032664734290348
,,,,,,18.78,4.050779138925193
,,,,,,18.782,4.069015393546782
