111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.5,0.4576203168671384,21.5,1.000879323937553,31.5,9.530209104028069,37.0,2.508038673586325,50.0,1.6442489092149437,51.76,6.477275340136488
18.51,0.4656576025494523,21.51,1.01728286136652,31.51,9.749826191356163,37.01,2.5515834442397214,50.01,1.6808492257838032,51.77,6.705296085748903
18.52,0.4739083748963862,21.52,1.03409270983273,31.52,9.97711460137714,37.02,2.59627086799398,50.02,1.7186829202301217,51.78,6.945459706250096
18.53,0.4823802575478076,21.53,1.051322390471488,31.53,10.212435410862842,37.03,2.6421412289390767,50.03,1.7578059251554226,51.79,7.198635227534115
18.54,0.4910812172911906,21.54,1.0689859911697202,31.54,10.456171168042172,37.04,2.6892366000413737,50.04,1.798277373344512,51.8,7.4657699692468205
18.55,0.5000195827522398,21.55,1.0870981952929228,31.55,10.708727441284118,37.05,2.737600939202945,50.05,1.840159819536196,51.81,7.7478980597920675
18.56,0.5092040642832445,21.56,1.1056743121239514,31.56,10.970534499514212,37.06,2.7872801913855767,50.06,1.8835194802917976,51.82,8.046150036482517
18.57,0.5186437751377502,21.57,1.1247303091313392,31.57,11.242049137314043,37.07,2.8383223972399465,50.07,1.9284264936647053,51.83,8.361763689225413
18.58,0.5283482540273261,21.58,1.1442828461936003,31.58,11.523756659094314,37.08,2.8907778087178646,50.08,1.9749552005571545,51.84,8.696096332108183
18.59,0.5383274891645438,21.59,1.1643493119163077,31.59,11.8161730383672,37.09,2.9446990121839134,50.09,2.023184449853248,51.85,9.05063871794346
18.6,0.5485919439049369,21.6,1.1849478621891514,31.6,12.119847269973393,37.1,3.000141059587209,50.1,2.0731979296467475,51.86,9.427030847158484
18.61,0.55915258411065,21.61,1.2060974611423134,31.61,12.435363935197243,37.11,3.0571616083015214,50.11,2.1250845271389167,51.87,9.827079965486362
18.62,0.5700209073690221,21.62,1.2278179246741183,31.62,12.763346002042484,37.12,3.1158210702929234,50.12,2.178938720069336,51.88,10.252781096115273
18.63,0.5812089742110672,21.63,1.2501299667358574,31.63,13.10445788559286,37.13,3.1761827713324675,50.13,2.2348610028686546,51.89,10.706340512888834
18.64,0.5927294414878111,21.64,1.2730552485752422,31.64,13.459408796393113,37.14,3.2383131210327143,50.14,2.2929583510874907,51.9,11.190202633846916
18.65,0.6045955980763741,21.65,1.296616431156158,31.65,13.828956408193998,37.15,3.3022817945567353,50.15,2.3533447280701547,51.91,11.707080901227796
18.66,0.6168214031035044,21.66,1.3208372309910958,31.66,14.213910880296886,37.16,3.368161926922013,50.16,2.416141638307792,51.92,12.259993317980495
18.67,0.6294215268911698,21.67,1.3457424796420514,31.67,14.61513927415096,37.17,3.4360303209060143,50.17,2.481478732436039,51.93,12.8523034353438
18.68,0.6424113948479336,21.68,1.3713581871679212,31.68,15.033570408913718,37.18,3.5059676696501887,50.18,2.5494944694410973,51.94,13.487767735428214
18.69,0.6558072345505834,21.69,1.3977116098200342,31.69,15.470200206455212,37.19,3.5780587951608522,50.19,2.62033684232056,51.95,14.170590532046855
18.7,0.6696261262835018,21.7,1.424831322313584,31.7,15.92609758289866,37.2,3.6523929040145102,50.2,2.6941641742185936,51.96,14.905487728415167
18.71,0.6838860573289357,21.71,1.4527472950318074,31.71,16.40241095138319,37.21,3.729063861698601,50.21,2.771145992939032,51.97,15.697761028940187
18.72,0.698605980329249,21.72,1.4814909765507258,31.72,16.900375409447648,37.22,3.808170487153799,50.22,2.8514639927473038,51.98,16.55338451253159
18.73,0.7138058760738144,21.73,1.5110953819075703,31.73,17.421320694490124,37.23,3.88981686923177,50.23,2.9353130935219798,51.99,17.47910584633579
18.74,0.7295068210975505,21.74,1.5415951870734894,31.74,17.96668000234009,37.24,3.9741127069492483,50.24,3.0229026086367865,52.0,18.4825648621098
18.75,0.7457310605169213,21.75,1.573026830133771,31.75,18.537999777396934,37.25,4.06117367560089,50.25,3.1144575344646133,52.01,19.572432743922892
18.76,0.7625020865716882,21.76,1.6054286197244592,31.76,19.136950598311905,37.26,4.151121820998006,50.26,3.2102199761343173,52.02,20.758575696281486
18.77,0.7798447233886074,21.77,1.6388408513258452,31.77,19.765339301241244,37.27,4.244085984323589,50.27,3.310450726169518,52.03,22.052247684730176
18.78,0.7977852185361501,21.78,1.6733059320693708,31.78,20.425122503688158,37.28,4.340202260346182,50.28,3.41543101494782,52.04,23.46631766918727
18.79,0.8163513419984569,21.79,1.7088685147767062,31.79,21.11842171644284,37.29,4.439614492014151,50.29,3.52546445458608,52.05,25.015537674578077
18.8,0.8355724932630669,21.8,1.7455756420191784,31.8,21.84754025977636,37.3,4.542474804760562,50.3,3.6408792009438264,52.06,26.716859032429962
18.81,0.8554798172904763,21.81,1.7834769010613802,31.81,22.614982233595423,37.31,4.648944184197521,50.31,3.762030362023518,52.07,28.589805109793424
18.82,0.8761063302167048,21.82,1.8226245906382208,31.82,23.423473830719953,37.32,4.7591931012637625,50.32,3.889302685212323,52.08,30.65690967862713
18.83,0.8974870557323507,21.83,1.8630739006078247,31.83,24.27598732888596,37.33,4.873402189323627,50.33,4.0231135606699056,52.09,32.944230514057196
18.84,0.919659173186098,21.84,1.9048831056279227,31.84,25.175768151965414,37.34,4.991762978196882,50.34,4.163916383837491,52.1,35.48194739610982
