noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
137.18313681328937,2054.1308978021243,32.38012249442284,0.05773091501546245,1e-05,32.38012249442284,0.11568084634906253,31.5,8.800273433520779
,,,,,,,31.51,9.002820809874287
,,,,,,,31.52,9.212431528000666
,,,,,,,31.53,9.429437349994465
,,,,,,,31.54,9.654189715848384
,,,,,,,31.55,9.887061158488672
,,,,,,,31.56,10.128446838755364
,,,,,,,31.57,10.378766212070843
,,,,,,,31.58,10.63846483984159
,,,,,,,31.59,10.90801636011323
,,,,,,,31.6,11.187924633649033
,,,,,,,31.61,11.478726083474806
,,,,,,,31.62,11.780992248040048
,,,,,,,31.63,12.09533257053211
,,,,,,,31.64,12.422397449588672
,,,,,,,31.65,12.762881579717769
,,,,,,,31.66,13.117527613230124
,,,,,,,31.67,13.487130179454057
,,,,,,,31.68,13.87254030153943
,,,,,,,31.69,14.274670256327576
,,,,,,,31.7,14.69449892868543
,,,,,,,31.71,15.133077718495223
,,,,,,,31.72,15.59153706627958
,,,,,,,31.73,16.071093672421807
,,,,,,,31.74,16.573058495274594
,,,,,,,31.75,17.09884562540807
,,,,,,,31.76,17.649982147068727
,,,,,,,31.77,18.228119113973843
,,,,,,,31.78,18.835043785211408
,,,,,,,31.79,19.472693288745862
,,,,,,,31.8,20.143169905413778
,,,,,,,31.81,20.848758195986367
,,,,,,,31.82,21.591944228743348
,,,,,,,31.83,22.375437205986632
,,,,,,,31.84,23.202193836288988
,,,,,,,31.85,24.075445856428654
,,,,,,,31.86,24.99873117476372
,,,,,,,31.87,25.975929188391888
,,,,,,,31.88,27.01130092255308
,,,,,,,31.89,28.109534755700025
,,,,,,,31.9,29.275798631557304
,,,,,,,31.91,30.515799825500544
,,,,,,,31.92,31.83585353299707
,,,,,,,31.93,33.24296179072044
,,,,,,,31.94,34.74490453621186
,,,,,,,31.95,36.35034497227572
,,,,,,,31.96,38.068951843650055
,,,,,,,31.97,39.91154177612383
,,,,,,,31.98,41.89024549822548
,,,,,,,31.99,44.01870259600142
,,,,,,,32.0,46.31229048524169
,,,,,,,32.01,48.788394578092586
,,,,,,,32.02,51.466728244651996
,,,,,,,32.03,54.36971321896503
,,,,,,,32.04,57.52293369693379
,,,,,,,32.05,60.95568068425522
,,,,,,,32.06,64.70160739290066
,,,,,,,32.07,68.79952194391396
,,,,,,,32.08,73.29435070052938
,,,,,,,32.09,78.2383147508592
,,,,,,,32.1,83.69237409084059
,,,,,,,32.11,89.72800988615111
,,,,,,,32.12,96.42943612670055
,,,,,,,32.13,103.89635982217332
,,,,,,,32.14,112.24744607819824
,,,,,,,32.15,121.62469430658336
,,,,,,,32.16,132.19899905685543
,,,,,,,32.17,144.17725974385533
,,,,,,,32.18,157.8115262116979
,,,,,,,32.19,173.41083243332693
,,,,,,,32.2,191.35659202033852
,,,,,,,32.21,212.12272128917965
,,,,,,,32.22,236.30203021151613
,,,,,,,32.23,264.6408760086882
,,,,,,,32.24,298.0845625598233
,,,,,,,32.25,337.83633466568904
,,,,,,,32.26,385.4326394386074
,,,,,,,32.27,442.8355865074902
,,,,,,,32.28,512.5378920122112
,,,,,,,32.29,597.6609187010878
,,,,,,,32.3,701.9921806403198
,,,,,,,32.31,829.8352306849929
,,,,,,,32.32,985.4030520708449
,,,,,,,32.33,1171.2601188247436
,,,,,,,32.34,1385.1127058291438
,,,,,,,32.35,1614.5751682253517
,,,,,,,32.36,1831.6142416181901
,,,,,,,32.37,1992.871633285187
,,,,,,,32.38,2054.1308978021243
,,,,,,,32.39,1995.718110313014
,,,,,,,32.4,1836.428920358387
,,,,,,,32.41,1620.1917897880169
,,,,,,,32.42,1390.6269371550823
,,,,,,,32.43,1176.1899276338725
,,,,,,,32.44,989.5905051048924
