noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
107.72750941404436,235.99444893196474,50.90840654982605,0.07411793692273227,1e-05,50.90840654982605,0.14840678084051187,50.0,1.5613744206316462
,,,,,,,50.01,1.596090335704848
,,,,,,,50.02,1.6319743298749856
,,,,,,,50.03,1.6690792717844094
,,,,,,,50.04,1.707461047847988
,,,,,,,50.05,1.747178770804306
,,,,,,,50.06,1.7882950052315827
,,,,,,,50.07,1.8308760116191116
,,,,,,,50.08,1.8749920107552542
,,,,,,,50.09,1.9207174703815484
,,,,,,,50.1,1.9681314162758046
,,,,,,,50.11,2.0173177701655693
,,,,,,,50.12,2.068365717140279
,,,,,,,50.13,2.121370105533047
,,,,,,,50.14,2.176431882581614
,,,,,,,50.15,2.2336585695621887
,,,,,,,50.16,2.293164780521362
,,,,,,,50.17,2.3550727892223833
,,,,,,,50.18,2.419513149475932
,,,,,,,50.19,2.4866253746563998
,,,,,,,50.2,2.5565586829189852
,,,,,,,50.21,2.6294728154488394
,,,,,,,50.22,2.7055389360027653
,,,,,,,50.23,2.784940621063669
,,,,,,,50.24,2.8678749511437625
,,,,,,,50.25,2.9545537151625285
,,,,,,,50.26,3.0452047414245595
,,,,,,,50.27,3.14007337055798
,,,,,,,50.28,3.2394240878933465
,,,,,,,50.29,3.3435423352082485
,,,,,,,50.3,3.4527365245896666
,,,,,,,50.31,3.5673402804476897
,,,,,,,50.32,3.6877149395215714
,,,,,,,50.33,3.814252343155817
,,,,,,,50.34,3.9473779612947233
,,,,,,,50.35,4.087554393695228
,,,,,,,50.36,4.235285300947768
,,,,,,,50.37,4.39111982622012
,,,,,,,50.38,4.55565757844926
,,,,,,,50.39,4.72955425927976
,,,,,,,50.4,4.913528029750531
,,,,,,,50.41,5.108366728983049
,,,,,,,50.42,5.314936076467644
,,,,,,,50.43,5.534189012611592
,,,,,,,50.44,5.76717635981584
,,,,,,,50.45,6.015059019453036
,,,,,,,50.46,6.2791219599637405
,,,,,,,50.47,6.560790299368917
,,,,,,,50.48,6.861647843694559
,,,,,,,50.49,7.183458513486327
,,,,,,,50.5,7.528191176681111
,,,,,,,50.51,7.898048511322721
,,,,,,,50.52,8.295500650601335
,,,,,,,50.53,8.723324521386978
,,,,,,,50.54,9.184649983274946
,,,,,,,50.55,9.683014117662376
,,,,,,,50.56,10.222425317661227
,,,,,,,50.57,10.80743920513148
,,,,,,,50.58,11.443248870562991
,,,,,,,50.59,12.135792520140479
,,,,,,,50.6,12.891882354401027
,,,,,,,50.61,13.719359435578927
,,,,,,,50.62,14.627280478373564
,,,,,,,50.63,15.626143987679603
,,,,,,,50.64,16.72816504944335
,,,,,,,50.65,17.947610459023373
,,,,,,,50.66,19.301208866763073
,,,,,,,50.67,20.808654371641584
,,,,,,,50.68,22.493226645090985
,,,,,,,50.69,24.382556339848243
,,,,,,,50.7,26.509571268463766
,,,,,,,50.71,28.91366644341835
,,,,,,,50.72,31.642148906093
,,,,,,,50.73,34.752014724674105
,,,,,,,50.74,38.312117112464456
,,,,,,,50.75,42.40577419309434
,,,,,,,50.76,47.1338286287875
,,,,,,,50.77,52.61808281912078
,,,,,,,50.78,59.00484417954443
,,,,,,,50.79,66.4679385878793
,,,,,,,50.8,75.20983894459799
,,,,,,,50.81,85.4582770368995
,,,,,,,50.82,97.45354469357139
,,,,,,,50.83,111.41836725242418
,,,,,,,50.84,127.49798635484623
,,,,,,,50.85,145.65496402443586
,,,,,,,50.86,165.50762004087264
,,,,,,,50.87,186.12635054511009
,,,,,,,50.88,205.8642638088347
,,,,,,,50.89,222.38809186468515
,,,,,,,50.9,233.10477750415242
,,,,,,,50.91,235.99444893196474
,,,,,,,50.92,230.46477119254357
,,,,,,,50.93,217.63132162076002
,,,,,,,50.94,199.80042171784055
,,,,,,,50.95,179.55704325918347
,,,,,,,50.96,159.04001205167435
,,,,,,,50.97,139.65720267675522
,,,,,,,50.98,122.14109917614202
,,,,,,,50.99,106.74279612157174
,,,,,,,51.0,93.42673910901246
,,,,,,,51.01,82.01405041928014
,,,,,,,51.02,72.27161800376513
,,,,,,,51.03,63.960920365970225
,,,,,,,51.04,56.86146790589732
,,,,,,,51.05,50.77983657330498
,,,,,,,51.06,45.55122072068494
,,,,,,,51.07,41.037493677594505
,,,,,,,51.08,37.12392067948247
,,,,,,,51.09,33.71560197583196
,,,,,,,51.1,30.73414027632288
,,,,,,,51.11,28.114722516128055
,,,,,,,51.12,25.803655994689198
,,,,,,,51.13,23.75633102167409
,,,,,,,51.14,21.935556257189877
,,,,,,,51.15,20.310207431414472
,,,,,,,51.16,18.85413380912371
,,,,,,,51.17,17.5452739224935
,,,,,,,51.18,16.364939973760166
,,,,,,,51.19,15.297237677984063
,,,,,,,51.2,14.32859471473261
,,,,,,,51.21,13.44737629492692
,,,,,,,51.22,12.643570698366906
,,,,,,,51.23,11.90853113198143
,,,,,,,51.24,11.234763043139575
,,,,,,,51.25,10.615748230383257
,,,,,,,51.26,10.045798840952259
,,,,,,,51.27,9.519935725986587
,,,,,,,51.28,9.033786717393525
,,,,,,,51.29,8.58350125656631
,,,,,,,51.3,8.16567849294931
,,,,,,,51.31,7.777306517934962
,,,,,,,51.32,7.415710836632035
,,,,,,,51.33,7.078510529957166
,,,,,,,51.34,6.763580840558553
,,,,,,,51.35,6.469021142534671
,,,,,,,51.36,6.193127437990495
,,,,,,,51.37,5.93436867197578
,,,,,,,51.38,5.691366278186642
,,,,,,,51.39,5.462876466482807
,,,,,,,51.4,5.24777484408619
,,,,,,,51.41,5.045043028745035
,,,,,,,51.42,4.853756966888021
,,,,,,,51.43,4.6730767150670784
,,,,,,,51.44,4.502237480530473
,,,,,,,51.45,4.34054174800724
,,,,,,,51.46,4.187352345838758
,,,,,,,51.47,4.04208632639671
,,,,,,,51.48,3.904209554021889
,,,,,,,51.49,3.7732319091033766
,,,,,,,51.5,3.648703029900943
,,,,,,,51.51,3.5302085246881476
,,,,,,,51.52,3.417366596103256
,,,,,,,51.53,3.3098250275019736
,,,,,,,51.54,3.207258487844405
,,,,,,,51.55,3.1093661174045693
,,,,,,,51.56,3.015869361512498
,,,,,,,51.57,2.9265100237648656
,,,,,,,51.58,2.841048513769077
,,,,,,,51.59,2.7592622676157226
,,,,,,,51.6,2.6809443219722437
,,,,,,,51.61,2.605902025025824
,,,,,,,51.62,2.533955869528865
,,,,,,,51.63,2.464938434955333
,,,,,,,51.64,2.39869342730633
,,,,,,,51.65,2.3350748064338194
,,,,,,,51.66,2.273945991916046
,,,,,,,51.67,2.21517913953338
,,,,,,,51.68,2.158654481285561
,,,,,,,51.69,2.104259722671725
,,,,,,,51.7,2.0518894916431525
,,,,,,,51.71,2.0014448342422018
,,,,,,,51.72,1.9528327524741742
,,,,,,,51.73,1.9059657804306043
,,,,,,,51.74,1.8607615950974798
,,,,,,,51.75,1.8171426586514972
