noise,h,x0,ganma,sigma,2theta,FWHM,thetas,intensity
103.30638982603395,232.27234076438106,52.32876750819719,0.0945981834892332,1e-05,52.32876750819719,0.18933055958198264,51.76,6.253406065280537
,,,,,,,51.77,6.472945111491696
,,,,,,,51.78,6.7041330625369095
,,,,,,,51.79,6.9477998594545785
,,,,,,,51.8,7.204849820039781
,,,,,,,51.81,7.476269679059319
,,,,,,,51.82,7.763137646287796
,,,,,,,51.83,8.066633629876085
,,,,,,,51.84,8.38805079657914
,,,,,,,51.85,8.728808668721207
,,,,,,,51.86,9.090467991293263
,,,,,,,51.87,9.474747642278885
,,,,,,,51.88,9.883543906451376
,,,,,,,51.89,10.318952488946112
,,,,,,,51.9,10.783293711734936
,,,,,,,51.91,11.279141415885778
,,,,,,,51.92,11.809356187891332
,,,,,,,51.93,12.37712364259321
,,,,,,,51.94,12.985998632266336
,,,,,,,51.95,13.639956415943564
,,,,,,,51.96,14.34345202077416
,,,,,,,51.97,15.10148926486699
,,,,,,,51.98,15.919701196682656
,,,,,,,51.99,16.80444404902606
,,,,,,,52.0,17.762907216732344
,,,,,,,52.01,18.803242258254958
,,,,,,,52.02,19.93471450517522
,,,,,,,52.03,21.16788155259641
,,,,,,,52.04,22.514803707377276
,,,,,,,52.05,23.98929239399009
,,,,,,,52.06,25.60720355057388
,,,,,,,52.07,27.386784157352658
,,,,,,,52.08,29.34908114996303
,,,,,,,52.09,31.518422930390354
,,,,,,,52.1,33.92298422066736
,,,,,,,52.11,36.595444620040475
,,,,,,,52.12,39.57374908750003
,,,,,,,52.13,42.90197327456288
,,,,,,,52.14,46.63128586415167
,,,,,,,52.15,50.82098007959122
,,,,,,,52.16,55.539511339084854
,,,,,,,52.17,60.865418340961675
,,,,,,,52.18,66.88790661897433
,,,,,,,52.19,73.70671654658904
,,,,,,,52.2,81.43065489519284
,,,,,,,52.21,90.17380953961738
,,,,,,,52.22,100.04796823006689
,,,,,,,52.23,111.14914309087077
,,,,,,,52.24,123.53549498101998
,,,,,,,52.25,137.19373683063336
,,,,,,,52.26,151.99209567892433
,,,,,,,52.27,167.62153545594734
,,,,,,,52.28,183.53488047823924
,,,,,,,52.29,198.90622837973672
,,,,,,,52.3,212.6466165358977
,,,,,,,52.31,223.51439428403614
,,,,,,,52.32,230.3332353198456
,,,,,,,52.33,232.27234076438106
,,,,,,,52.34,229.08195492567006
,,,,,,,52.35,221.1697958813843
,,,,,,,52.36,209.47760016889953
,,,,,,,52.37,195.22285120768495
,,,,,,,52.38,179.62588901502903
,,,,,,,52.39,163.7168889002373
,,,,,,,52.4,148.25162973502117
,,,,,,,52.41,133.71351624001755
,,,,,,,52.42,120.36204952928416
,,,,,,,52.43,108.29470557206213
,,,,,,,52.44,97.50332109666287
,,,,,,,52.45,87.9177759632829
,,,,,,,52.46,79.43650136458695
,,,,,,,52.47,71.94616021295559
